Area,Age,Year at 30 June,Sex,Value,Flags
"Wellington region","25-29 Years","2014","Male",15950,
"Wellington region","25-29 Years","2015","Male",16950,
"Wellington region","25-29 Years","2006","Female",16470,
"Wellington region","25-29 Years","2007","Female",16740,
"Wellington region","25-29 Years","2008","Female",16880,
"Wellington region","25-29 Years","2009","Female",17020,
"Wellington region","25-29 Years","2010","Female",16950,
"Wellington region","25-29 Years","2011","Female",16800,
"Wellington region","25-29 Years","2012","Female",16650,
"Wellington region","25-29 Years","2013","Female",16570,
"Wellington region","25-29 Years","2014","Female",17150,
"Wellington region","25-29 Years","2015","Female",17560,
"Tasman region","25-29 Years","2006","Male",940,
"Tasman region","25-29 Years","2007","Male",950,
"Tasman region","25-29 Years","2008","Male",920,
"Tasman region","25-29 Years","2009","Male",930,
"Tasman region","25-29 Years","2010","Male",940,
"Tasman region","25-29 Years","2011","Male",930,
"Tasman region","25-29 Years","2012","Male",920,
"Tasman region","25-29 Years","2013","Male",900,
"Tasman region","25-29 Years","2014","Male",910,
"Tasman region","25-29 Years","2015","Male",950,
"Tasman region","25-29 Years","2006","Female",1000,
"Tasman region","25-29 Years","2007","Female",950,
"Tasman region","25-29 Years","2008","Female",950,
"Tasman region","25-29 Years","2009","Female",960,
"Tasman region","25-29 Years","2010","Female",980,
"Tasman region","25-29 Years","2011","Female",960,
"Tasman region","25-29 Years","2012","Female",970,
"Tasman region","25-29 Years","2013","Female",950,
"Tasman region","25-29 Years","2014","Female",910,
"Tasman region","25-29 Years","2015","Female",950,
"Nelson region","25-29 Years","2006","Male",1200,
"Nelson region","25-29 Years","2007","Male",1210,
"Nelson region","25-29 Years","2008","Male",1200,
"Nelson region","25-29 Years","2009","Male",1210,
"Nelson region","25-29 Years","2010","Male",1180,
"Nelson region","25-29 Years","2011","Male",1160,
"Nelson region","25-29 Years","2012","Male",1190,
"Nelson region","25-29 Years","2013","Male",1250,
"Nelson region","25-29 Years","2014","Male",1240,
"Nelson region","25-29 Years","2015","Male",1310,
"Nelson region","25-29 Years","2006","Female",1220,
"Nelson region","25-29 Years","2007","Female",1200,
"Nelson region","25-29 Years","2008","Female",1220,
"Nelson region","25-29 Years","2009","Female",1230,
"Nelson region","25-29 Years","2010","Female",1250,
"Nelson region","25-29 Years","2011","Female",1270,
"Nelson region","25-29 Years","2012","Female",1290,
"Nelson region","25-29 Years","2013","Female",1350,
"Nelson region","25-29 Years","2014","Female",1370,
"Nelson region","25-29 Years","2015","Female",1390,
"Marlborough region","25-29 Years","2006","Male",1100,
"Marlborough region","25-29 Years","2007","Male",1120,
"Marlborough region","25-29 Years","2008","Male",1090,
"Marlborough region","25-29 Years","2009","Male",1080,
"Marlborough region","25-29 Years","2010","Male",1080,
"Marlborough region","25-29 Years","2011","Male",1080,
"Marlborough region","25-29 Years","2012","Male",1080,
"Marlborough region","25-29 Years","2013","Male",1080,
"Marlborough region","25-29 Years","2014","Male",1130,
"Marlborough region","25-29 Years","2015","Male",1130,
"Marlborough region","25-29 Years","2006","Female",1140,
"Marlborough region","25-29 Years","2007","Female",1160,
"Marlborough region","25-29 Years","2008","Female",1150,
"Marlborough region","25-29 Years","2009","Female",1160,
"Marlborough region","25-29 Years","2010","Female",1110,
"Marlborough region","25-29 Years","2011","Female",1120,
"Marlborough region","25-29 Years","2012","Female",1130,
"Marlborough region","25-29 Years","2013","Female",1120,
"Marlborough region","25-29 Years","2014","Female",1110,
"Marlborough region","25-29 Years","2015","Female",1190,
"West Coast region","25-29 Years","2006","Male",790,
"West Coast region","25-29 Years","2007","Male",780,
"West Coast region","25-29 Years","2008","Male",770,
"West Coast region","25-29 Years","2009","Male",760,
"West Coast region","25-29 Years","2010","Male",800,
"West Coast region","25-29 Years","2011","Male",800,
"West Coast region","25-29 Years","2012","Male",820,
"West Coast region","25-29 Years","2013","Male",820,
"West Coast region","25-29 Years","2014","Male",890,
"West Coast region","25-29 Years","2015","Male",870,
"West Coast region","25-29 Years","2006","Female",830,
"West Coast region","25-29 Years","2007","Female",830,
"West Coast region","25-29 Years","2008","Female",820,
"West Coast region","25-29 Years","2009","Female",820,
"West Coast region","25-29 Years","2010","Female",800,
"West Coast region","25-29 Years","2011","Female",800,
"West Coast region","25-29 Years","2012","Female",810,
"West Coast region","25-29 Years","2013","Female",850,
"West Coast region","25-29 Years","2014","Female",890,
"West Coast region","25-29 Years","2015","Female",910,
"Canterbury region","25-29 Years","2006","Male",15730,
"Canterbury region","25-29 Years","2007","Male",16060,
"Canterbury region","25-29 Years","2008","Male",16570,
"Canterbury region","25-29 Years","2009","Male",17050,
"Canterbury region","25-29 Years","2010","Male",17460,
"Canterbury region","25-29 Years","2011","Male",17270,
"Canterbury region","25-29 Years","2012","Male",17260,
"Canterbury region","25-29 Years","2013","Male",17520,
"Canterbury region","25-29 Years","2014","Male",19240,
"Canterbury region","25-29 Years","2015","Male",21150,
"Canterbury region","25-29 Years","2006","Female",16280,
"Canterbury region","25-29 Years","2007","Female",16490,
"Canterbury region","25-29 Years","2008","Female",16640,
"Canterbury region","25-29 Years","2009","Female",16860,
"Canterbury region","25-29 Years","2010","Female",17080,
"Canterbury region","25-29 Years","2011","Female",16700,
"Canterbury region","25-29 Years","2012","Female",16480,
"Canterbury region","25-29 Years","2013","Female",16580,
"Canterbury region","25-29 Years","2014","Female",17480,
"Canterbury region","25-29 Years","2015","Female",18740,
"Wellington region","30-34 Years","2006","Male",16620,
"Wellington region","30-34 Years","2007","Male",16220,
"Wellington region","30-34 Years","2008","Male",15710,
"Wellington region","30-34 Years","2009","Male",15500,
"Wellington region","30-34 Years","2010","Male",15430,
"Wellington region","30-34 Years","2011","Male",15410,
"Wellington region","30-34 Years","2012","Male",15340,
"Wellington region","30-34 Years","2013","Male",15450,
"Wellington region","30-34 Years","2014","Male",15560,
"Wellington region","30-34 Years","2015","Male",15590,
"Wellington region","30-34 Years","2006","Female",18380,
"Wellington region","30-34 Years","2007","Female",17760,
"Wellington region","30-34 Years","2008","Female",17250,
"Wellington region","30-34 Years","2009","Female",16920,
"Wellington region","30-34 Years","2010","Female",16830,
"Wellington region","30-34 Years","2011","Female",16840,
"Wellington region","30-34 Years","2012","Female",16810,
"Wellington region","30-34 Years","2013","Female",16740,
"Wellington region","30-34 Years","2014","Female",16840,
"Wellington region","30-34 Years","2015","Female",17010,
"Tasman region","30-34 Years","2006","Male",1350,
"Tasman region","30-34 Years","2007","Male",1260,
"Tasman region","30-34 Years","2008","Male",1190,
"Tasman region","30-34 Years","2009","Male",1120,
"Tasman region","30-34 Years","2010","Male",1070,
"Tasman region","30-34 Years","2011","Male",1040,
"Tasman region","30-34 Years","2012","Male",1010,
"Tasman region","30-34 Years","2013","Male",990,
"Tasman region","30-34 Years","2014","Male",960,
"Tasman region","30-34 Years","2015","Male",1010,
"Tasman region","30-34 Years","2006","Female",1420,
"Tasman region","30-34 Years","2007","Female",1320,
"Tasman region","30-34 Years","2008","Female",1250,
"Tasman region","30-34 Years","2009","Female",1210,
"Tasman region","30-34 Years","2010","Female",1160,
"Tasman region","30-34 Years","2011","Female",1160,
"Tasman region","30-34 Years","2012","Female",1150,
"Tasman region","30-34 Years","2013","Female",1160,
"Tasman region","30-34 Years","2014","Female",1140,
"Tasman region","30-34 Years","2015","Female",1150,
"Nelson region","30-34 Years","2006","Male",1370,
"Nelson region","30-34 Years","2007","Male",1300,
"Nelson region","30-34 Years","2008","Male",1260,
"Nelson region","30-34 Years","2009","Male",1250,
"Nelson region","30-34 Years","2010","Male",1270,
"Nelson region","30-34 Years","2011","Male",1260,
"Nelson region","30-34 Years","2012","Male",1250,
"Nelson region","30-34 Years","2013","Male",1210,
"Nelson region","30-34 Years","2014","Male",1290,
"Nelson region","30-34 Years","2015","Male",1250,
"Nelson region","30-34 Years","2006","Female",1470,
"Nelson region","30-34 Years","2007","Female",1460,
"Nelson region","30-34 Years","2008","Female",1390,
"Nelson region","30-34 Years","2009","Female",1390,
"Nelson region","30-34 Years","2010","Female",1350,
"Nelson region","30-34 Years","2011","Female",1370,
"Nelson region","30-34 Years","2012","Female",1340,
"Nelson region","30-34 Years","2013","Female",1330,
"Nelson region","30-34 Years","2014","Female",1320,
"Nelson region","30-34 Years","2015","Female",1370,
"Marlborough region","30-34 Years","2006","Male",1330,
"Marlborough region","30-34 Years","2007","Male",1260,
"Marlborough region","30-34 Years","2008","Male",1230,
"Marlborough region","30-34 Years","2009","Male",1170,
"Marlborough region","30-34 Years","2010","Male",1120,
"Marlborough region","30-34 Years","2011","Male",1090,
"Marlborough region","30-34 Years","2012","Male",1080,
"Marlborough region","30-34 Years","2013","Male",1040,
"Marlborough region","30-34 Years","2014","Male",1050,
"Marlborough region","30-34 Years","2015","Male",1100,
"Marlborough region","30-34 Years","2006","Female",1300,
"Marlborough region","30-34 Years","2007","Female",1270,
"Marlborough region","30-34 Years","2008","Female",1250,
"Marlborough region","30-34 Years","2009","Female",1240,
"Marlborough region","30-34 Years","2010","Female",1220,
"Marlborough region","30-34 Years","2011","Female",1220,
"Marlborough region","30-34 Years","2012","Female",1220,
"Marlborough region","30-34 Years","2013","Female",1240,
"Marlborough region","30-34 Years","2014","Female",1240,
"Marlborough region","30-34 Years","2015","Female",1180,
"West Coast region","30-34 Years","2006","Male",920,
"West Coast region","30-34 Years","2007","Male",870,
"West Coast region","30-34 Years","2008","Male",850,
"West Coast region","30-34 Years","2009","Male",840,
"West Coast region","30-34 Years","2010","Male",810,
"West Coast region","30-34 Years","2011","Male",800,
"West Coast region","30-34 Years","2012","Male",790,
"West Coast region","30-34 Years","2013","Male",780,
"West Coast region","30-34 Years","2014","Male",760,
"West Coast region","30-34 Years","2015","Male",830,
"West Coast region","30-34 Years","2006","Female",1040,
"West Coast region","30-34 Years","2007","Female",1000,
"West Coast region","30-34 Years","2008","Female",960,
"West Coast region","30-34 Years","2009","Female",930,
"West Coast region","30-34 Years","2010","Female",930,
"West Coast region","30-34 Years","2011","Female",950,
"West Coast region","30-34 Years","2012","Female",930,
"West Coast region","30-34 Years","2013","Female",910,
"West Coast region","30-34 Years","2014","Female",900,
"West Coast region","30-34 Years","2015","Female",900,
"Canterbury region","30-34 Years","2006","Male",17340,
"Canterbury region","30-34 Years","2007","Male",17020,
"Canterbury region","30-34 Years","2008","Male",16780,
"Canterbury region","30-34 Years","2009","Male",16620,
"Canterbury region","30-34 Years","2010","Male",16600,
"Canterbury region","30-34 Years","2011","Male",16080,
"Canterbury region","30-34 Years","2012","Male",15860,
"Canterbury region","30-34 Years","2013","Male",16280,
"Canterbury region","30-34 Years","2014","Male",17280,
"Canterbury region","30-34 Years","2015","Male",18240,
"Canterbury region","30-34 Years","2006","Female",19000,
"Canterbury region","30-34 Years","2007","Female",18450,
"Canterbury region","30-34 Years","2008","Female",17900,
"Canterbury region","30-34 Years","2009","Female",17630,
"Canterbury region","30-34 Years","2010","Female",17450,
"Canterbury region","30-34 Years","2011","Female",16950,
"Canterbury region","30-34 Years","2012","Female",16630,
"Canterbury region","30-34 Years","2013","Female",16700,
"Canterbury region","30-34 Years","2014","Female",17170,
"Canterbury region","30-34 Years","2015","Female",17720,
"Wellington region","35-39 Years","2006","Male",17750,
"Wellington region","35-39 Years","2007","Male",17810,
"Wellington region","35-39 Years","2008","Male",17660,
"Wellington region","35-39 Years","2009","Male",17540,
"Wellington region","35-39 Years","2010","Male",17110,
"Wellington region","35-39 Years","2011","Male",16640,
"Wellington region","35-39 Years","2012","Male",16190,
"Wellington region","35-39 Years","2013","Male",15660,
"Wellington region","35-39 Years","2014","Male",15320,
"Wellington region","35-39 Years","2015","Male",15420,
"Wellington region","35-39 Years","2006","Female",19310,
"Wellington region","35-39 Years","2007","Female",19500,
"Wellington region","35-39 Years","2008","Female",19540,
"Wellington region","35-39 Years","2009","Female",19480,
"Wellington region","35-39 Years","2010","Female",19100,
"Wellington region","35-39 Years","2011","Female",18380,
"Wellington region","35-39 Years","2012","Female",17710,
"Wellington region","35-39 Years","2013","Female",17180,
"Wellington region","35-39 Years","2014","Female",16840,
"Wellington region","35-39 Years","2015","Female",16820,
"Tasman region","35-39 Years","2006","Male",1580,
"Tasman region","35-39 Years","2007","Male",1620,
"Tasman region","35-39 Years","2008","Male",1620,
"Tasman region","35-39 Years","2009","Male",1610,
"Tasman region","35-39 Years","2010","Male",1520,
"Tasman region","35-39 Years","2011","Male",1480,
"Tasman region","35-39 Years","2012","Male",1380,
"Tasman region","35-39 Years","2013","Male",1300,
"Tasman region","35-39 Years","2014","Male",1220,
"Tasman region","35-39 Years","2015","Male",1160,
"Tasman region","35-39 Years","2006","Female",1790,
"Tasman region","35-39 Years","2007","Female",1810,
"Tasman region","35-39 Years","2008","Female",1810,
"Tasman region","35-39 Years","2009","Female",1760,
"Tasman region","35-39 Years","2010","Female",1720,
"Tasman region","35-39 Years","2011","Female",1650,
"Tasman region","35-39 Years","2012","Female",1520,
"Tasman region","35-39 Years","2013","Female",1420,
"Tasman region","35-39 Years","2014","Female",1360,
"Tasman region","35-39 Years","2015","Female",1310,
"Nelson region","35-39 Years","2006","Male",1530,
"Nelson region","35-39 Years","2007","Male",1570,
"Nelson region","35-39 Years","2008","Male",1580,
"Nelson region","35-39 Years","2009","Male",1560,
"Nelson region","35-39 Years","2010","Male",1520,
"Nelson region","35-39 Years","2011","Male",1500,
"Nelson region","35-39 Years","2012","Male",1400,
"Nelson region","35-39 Years","2013","Male",1360,
"Nelson region","35-39 Years","2014","Male",1340,
"Nelson region","35-39 Years","2015","Male",1370,
"Nelson region","35-39 Years","2006","Female",1650,
"Nelson region","35-39 Years","2007","Female",1670,
"Nelson region","35-39 Years","2008","Female",1700,
"Nelson region","35-39 Years","2009","Female",1710,
"Nelson region","35-39 Years","2010","Female",1700,
"Nelson region","35-39 Years","2011","Female",1660,
"Nelson region","35-39 Years","2012","Female",1640,
"Nelson region","35-39 Years","2013","Female",1570,
"Nelson region","35-39 Years","2014","Female",1550,
"Nelson region","35-39 Years","2015","Female",1450,
"Marlborough region","35-39 Years","2006","Male",1440,
"Marlborough region","35-39 Years","2007","Male",1440,
"Marlborough region","35-39 Years","2008","Male",1420,
"Marlborough region","35-39 Years","2009","Male",1410,
"Marlborough region","35-39 Years","2010","Male",1370,
"Marlborough region","35-39 Years","2011","Male",1350,
"Marlborough region","35-39 Years","2012","Male",1280,
"Marlborough region","35-39 Years","2013","Male",1240,
"Marlborough region","35-39 Years","2014","Male",1150,
"Marlborough region","35-39 Years","2015","Male",1120,
"Marlborough region","35-39 Years","2006","Female",1560,
"Marlborough region","35-39 Years","2007","Female",1520,
"Marlborough region","35-39 Years","2008","Female",1480,
"Marlborough region","35-39 Years","2009","Female",1470,
"Marlborough region","35-39 Years","2010","Female",1460,
"Marlborough region","35-39 Years","2011","Female",1410,
"Marlborough region","35-39 Years","2012","Female",1350,
"Marlborough region","35-39 Years","2013","Female",1320,
"Marlborough region","35-39 Years","2014","Female",1280,
"Marlborough region","35-39 Years","2015","Female",1240,
"West Coast region","35-39 Years","2006","Male",1090,
"West Coast region","35-39 Years","2007","Male",1120,
"West Coast region","35-39 Years","2008","Male",1100,
"West Coast region","35-39 Years","2009","Male",1080,
"West Coast region","35-39 Years","2010","Male",1050,
"West Coast region","35-39 Years","2011","Male",1010,
"West Coast region","35-39 Years","2012","Male",930,
"West Coast region","35-39 Years","2013","Male",900,
"West Coast region","35-39 Years","2014","Male",860,
"West Coast region","35-39 Years","2015","Male",820,
"West Coast region","35-39 Years","2006","Female",1200,
"West Coast region","35-39 Years","2007","Female",1210,
"West Coast region","35-39 Years","2008","Female",1190,
"West Coast region","35-39 Years","2009","Female",1180,
"West Coast region","35-39 Years","2010","Female",1130,
"West Coast region","35-39 Years","2011","Female",1100,
"West Coast region","35-39 Years","2012","Female",1040,
"West Coast region","35-39 Years","2013","Female",980,
"West Coast region","35-39 Years","2014","Female",940,
"West Coast region","35-39 Years","2015","Female",920,
"Canterbury region","35-39 Years","2006","Male",19630,
"Canterbury region","35-39 Years","2007","Male",19900,
"Canterbury region","35-39 Years","2008","Male",19830,
"Canterbury region","35-39 Years","2009","Male",19520,
"Canterbury region","35-39 Years","2010","Male",19130,
"Canterbury region","35-39 Years","2011","Male",18130,
"Canterbury region","35-39 Years","2012","Male",17350,
"Canterbury region","35-39 Years","2013","Male",16980,
"Canterbury region","35-39 Years","2014","Male",16910,
"Canterbury region","35-39 Years","2015","Male",17240,
"Canterbury region","35-39 Years","2006","Female",20960,
"Canterbury region","35-39 Years","2007","Female",21320,
"Canterbury region","35-39 Years","2008","Female",21430,
"Canterbury region","35-39 Years","2009","Female",21250,
"Canterbury region","35-39 Years","2010","Female",20920,
"Canterbury region","35-39 Years","2011","Female",19570,
"Canterbury region","35-39 Years","2012","Female",18500,
"Canterbury region","35-39 Years","2013","Female",17820,
"Canterbury region","35-39 Years","2014","Female",17590,
"Canterbury region","35-39 Years","2015","Female",17610,
"Wellington region","40-44 Years","2006","Male",17760,
"Wellington region","40-44 Years","2007","Male",17540,
"Wellington region","40-44 Years","2008","Male",17410,
"Wellington region","40-44 Years","2009","Male",17270,
"Wellington region","40-44 Years","2010","Male",17290,
"Wellington region","40-44 Years","2011","Male",17410,
"Wellington region","40-44 Years","2012","Male",17410,
"Wellington region","40-44 Years","2013","Male",17330,
"Wellington region","40-44 Years","2014","Male",17280,
"Wellington region","40-44 Years","2015","Male",16950,
"Wellington region","40-44 Years","2006","Female",18900,
"Wellington region","40-44 Years","2007","Female",18930,
"Wellington region","40-44 Years","2008","Female",18620,
"Wellington region","40-44 Years","2009","Female",18590,
"Wellington region","40-44 Years","2010","Female",18800,
"Wellington region","40-44 Years","2011","Female",19160,
"Wellington region","40-44 Years","2012","Female",19180,
"Wellington region","40-44 Years","2013","Female",19200,
"Wellington region","40-44 Years","2014","Female",19100,
"Wellington region","40-44 Years","2015","Female",18770,
"Tasman region","40-44 Years","2006","Male",1780,
"Tasman region","40-44 Years","2007","Male",1720,
"Tasman region","40-44 Years","2008","Male",1680,
"Tasman region","40-44 Years","2009","Male",1710,
"Tasman region","40-44 Years","2010","Male",1730,
"Tasman region","40-44 Years","2011","Male",1730,
"Tasman region","40-44 Years","2012","Male",1770,
"Tasman region","40-44 Years","2013","Male",1720,
"Tasman region","40-44 Years","2014","Male",1690,
"Tasman region","40-44 Years","2015","Male",1580,
"Tasman region","40-44 Years","2006","Female",1930,
"Tasman region","40-44 Years","2007","Female",1920,
"Tasman region","40-44 Years","2008","Female",1870,
"Tasman region","40-44 Years","2009","Female",1880,
"Tasman region","40-44 Years","2010","Female",1900,
"Tasman region","40-44 Years","2011","Female",1970,
"Tasman region","40-44 Years","2012","Female",1990,
"Tasman region","40-44 Years","2013","Female",2010,
"Tasman region","40-44 Years","2014","Female",1920,
"Tasman region","40-44 Years","2015","Female",1860,
"Nelson region","40-44 Years","2006","Male",1680,
"Nelson region","40-44 Years","2007","Male",1660,
"Nelson region","40-44 Years","2008","Male",1630,
"Nelson region","40-44 Years","2009","Male",1600,
"Nelson region","40-44 Years","2010","Male",1630,
"Nelson region","40-44 Years","2011","Male",1670,
"Nelson region","40-44 Years","2012","Male",1720,
"Nelson region","40-44 Years","2013","Male",1720,
"Nelson region","40-44 Years","2014","Male",1690,
"Nelson region","40-44 Years","2015","Male",1640,
"Nelson region","40-44 Years","2006","Female",1860,
"Nelson region","40-44 Years","2007","Female",1840,
"Nelson region","40-44 Years","2008","Female",1760,
"Nelson region","40-44 Years","2009","Female",1760,
"Nelson region","40-44 Years","2010","Female",1790,
"Nelson region","40-44 Years","2011","Female",1810,
"Nelson region","40-44 Years","2012","Female",1840,
"Nelson region","40-44 Years","2013","Female",1870,
"Nelson region","40-44 Years","2014","Female",1870,
"Nelson region","40-44 Years","2015","Female",1830,
"Marlborough region","40-44 Years","2006","Male",1540,
"Marlborough region","40-44 Years","2007","Male",1520,
"Marlborough region","40-44 Years","2008","Male",1480,
"Marlborough region","40-44 Years","2009","Male",1460,
"Marlborough region","40-44 Years","2010","Male",1480,
"Marlborough region","40-44 Years","2011","Male",1450,
"Marlborough region","40-44 Years","2012","Male",1450,
"Marlborough region","40-44 Years","2013","Male",1410,
"Marlborough region","40-44 Years","2014","Male",1410,
"Marlborough region","40-44 Years","2015","Male",1380,
"Marlborough region","40-44 Years","2006","Female",1680,
"Marlborough region","40-44 Years","2007","Female",1660,
"Marlborough region","40-44 Years","2008","Female",1650,
"Marlborough region","40-44 Years","2009","Female",1620,
"Marlborough region","40-44 Years","2010","Female",1610,
"Marlborough region","40-44 Years","2011","Female",1600,
"Marlborough region","40-44 Years","2012","Female",1560,
"Marlborough region","40-44 Years","2013","Female",1500,
"Marlborough region","40-44 Years","2014","Female",1490,
"Marlborough region","40-44 Years","2015","Female",1510,
"West Coast region","40-44 Years","2006","Male",1330,
"West Coast region","40-44 Years","2007","Male",1300,
"West Coast region","40-44 Years","2008","Male",1270,
"West Coast region","40-44 Years","2009","Male",1220,
"West Coast region","40-44 Years","2010","Male",1170,
"West Coast region","40-44 Years","2011","Male",1130,
"West Coast region","40-44 Years","2012","Male",1160,
"West Coast region","40-44 Years","2013","Male",1140,
"West Coast region","40-44 Years","2014","Male",1130,
"West Coast region","40-44 Years","2015","Male",1070,
"West Coast region","40-44 Years","2006","Female",1320,
"West Coast region","40-44 Years","2007","Female",1290,
"West Coast region","40-44 Years","2008","Female",1290,
"West Coast region","40-44 Years","2009","Female",1240,
"West Coast region","40-44 Years","2010","Female",1260,
"West Coast region","40-44 Years","2011","Female",1260,
"West Coast region","40-44 Years","2012","Female",1250,
"West Coast region","40-44 Years","2013","Female",1220,
"West Coast region","40-44 Years","2014","Female",1170,
"West Coast region","40-44 Years","2015","Female",1110,
"Canterbury region","40-44 Years","2006","Male",20080,
"Canterbury region","40-44 Years","2007","Male",20000,
"Canterbury region","40-44 Years","2008","Male",20070,
"Canterbury region","40-44 Years","2009","Male",20320,
"Canterbury region","40-44 Years","2010","Male",20440,
"Canterbury region","40-44 Years","2011","Male",20130,
"Canterbury region","40-44 Years","2012","Male",19990,
"Canterbury region","40-44 Years","2013","Male",19900,
"Canterbury region","40-44 Years","2014","Male",19840,
"Canterbury region","40-44 Years","2015","Male",19640,
"Canterbury region","40-44 Years","2006","Female",21410,
"Canterbury region","40-44 Years","2007","Female",21290,
"Canterbury region","40-44 Years","2008","Female",21230,
"Canterbury region","40-44 Years","2009","Female",21200,
"Canterbury region","40-44 Years","2010","Female",21400,
"Canterbury region","40-44 Years","2011","Female",21260,
"Canterbury region","40-44 Years","2012","Female",21210,
"Canterbury region","40-44 Years","2013","Female",21340,
"Canterbury region","40-44 Years","2014","Female",21140,
"Canterbury region","40-44 Years","2015","Female",20860,
"Wellington region","45-49 Years","2006","Male",16480,
"Wellington region","45-49 Years","2007","Male",16890,
"Wellington region","45-49 Years","2008","Male",17230,
"Wellington region","45-49 Years","2009","Male",17320,
"Wellington region","45-49 Years","2010","Male",17380,
"Wellington region","45-49 Years","2011","Male",17280,
"Wellington region","45-49 Years","2012","Male",17000,
"Wellington region","45-49 Years","2013","Male",16890,
"Wellington region","45-49 Years","2014","Male",16770,
"Wellington region","45-49 Years","2015","Male",16820,
"Wellington region","45-49 Years","2006","Female",17280,
"Wellington region","45-49 Years","2007","Female",17780,
"Wellington region","45-49 Years","2008","Female",18350,
"Wellington region","45-49 Years","2009","Female",18660,
"Wellington region","45-49 Years","2010","Female",18520,
"Wellington region","45-49 Years","2011","Female",18520,
"Wellington region","45-49 Years","2012","Female",18540,
"Wellington region","45-49 Years","2013","Female",18190,
"Wellington region","45-49 Years","2014","Female",18190,
"Wellington region","45-49 Years","2015","Female",18370,
"Tasman region","45-49 Years","2006","Male",1890,
"Tasman region","45-49 Years","2007","Male",1920,
"Tasman region","45-49 Years","2008","Male",1930,
"Tasman region","45-49 Years","2009","Male",1900,
"Tasman region","45-49 Years","2010","Male",1900,
"Tasman region","45-49 Years","2011","Male",1900,
"Tasman region","45-49 Years","2012","Male",1850,
"Tasman region","45-49 Years","2013","Male",1820,
"Tasman region","45-49 Years","2014","Male",1850,
"Tasman region","45-49 Years","2015","Male",1870,
"Tasman region","45-49 Years","2006","Female",1960,
"Tasman region","45-49 Years","2007","Female",1980,
"Tasman region","45-49 Years","2008","Female",2040,
"Tasman region","45-49 Years","2009","Female",2070,
"Tasman region","45-49 Years","2010","Female",2070,
"Tasman region","45-49 Years","2011","Female",2020,
"Tasman region","45-49 Years","2012","Female",2030,
"Tasman region","45-49 Years","2013","Female",1960,
"Tasman region","45-49 Years","2014","Female",1960,
"Tasman region","45-49 Years","2015","Female",1980,
"Nelson region","45-49 Years","2006","Male",1730,
"Nelson region","45-49 Years","2007","Male",1740,
"Nelson region","45-49 Years","2008","Male",1760,
"Nelson region","45-49 Years","2009","Male",1810,
"Nelson region","45-49 Years","2010","Male",1780,
"Nelson region","45-49 Years","2011","Male",1770,
"Nelson region","45-49 Years","2012","Male",1750,
"Nelson region","45-49 Years","2013","Male",1740,
"Nelson region","45-49 Years","2014","Male",1700,
"Nelson region","45-49 Years","2015","Male",1730,
"Nelson region","45-49 Years","2006","Female",1860,
"Nelson region","45-49 Years","2007","Female",1900,
"Nelson region","45-49 Years","2008","Female",1980,
"Nelson region","45-49 Years","2009","Female",1950,
"Nelson region","45-49 Years","2010","Female",1930,
"Nelson region","45-49 Years","2011","Female",1950,
"Nelson region","45-49 Years","2012","Female",1920,
"Nelson region","45-49 Years","2013","Female",1860,
"Nelson region","45-49 Years","2014","Female",1840,
"Nelson region","45-49 Years","2015","Female",1880,
"Marlborough region","45-49 Years","2006","Male",1710,
"Marlborough region","45-49 Years","2007","Male",1700,
"Marlborough region","45-49 Years","2008","Male",1680,
"Marlborough region","45-49 Years","2009","Male",1670,
"Marlborough region","45-49 Years","2010","Male",1610,
"Marlborough region","45-49 Years","2011","Male",1560,
"Marlborough region","45-49 Years","2012","Male",1530,
"Marlborough region","45-49 Years","2013","Male",1460,
"Marlborough region","45-49 Years","2014","Male",1430,
"Marlborough region","45-49 Years","2015","Male",1460,
"Marlborough region","45-49 Years","2006","Female",1740,
"Marlborough region","45-49 Years","2007","Female",1760,
"Marlborough region","45-49 Years","2008","Female",1800,
"Marlborough region","45-49 Years","2009","Female",1790,
"Marlborough region","45-49 Years","2010","Female",1770,
"Marlborough region","45-49 Years","2011","Female",1710,
"Marlborough region","45-49 Years","2012","Female",1660,
"Marlborough region","45-49 Years","2013","Female",1640,
"Marlborough region","45-49 Years","2014","Female",1630,
"Marlborough region","45-49 Years","2015","Female",1610,
"West Coast region","45-49 Years","2006","Male",1420,
"West Coast region","45-49 Years","2007","Male",1450,
"West Coast region","45-49 Years","2008","Male",1460,
"West Coast region","45-49 Years","2009","Male",1430,
"West Coast region","45-49 Years","2010","Male",1400,
"West Coast region","45-49 Years","2011","Male",1380,
"West Coast region","45-49 Years","2012","Male",1320,
"West Coast region","45-49 Years","2013","Male",1270,
"West Coast region","45-49 Years","2014","Male",1190,
"West Coast region","45-49 Years","2015","Male",1100,
"West Coast region","45-49 Years","2006","Female",1300,
"West Coast region","45-49 Years","2007","Female",1340,
"West Coast region","45-49 Years","2008","Female",1380,
"West Coast region","45-49 Years","2009","Female",1440,
"West Coast region","45-49 Years","2010","Female",1410,
"West Coast region","45-49 Years","2011","Female",1350,
"West Coast region","45-49 Years","2012","Female",1320,
"West Coast region","45-49 Years","2013","Female",1310,
"West Coast region","45-49 Years","2014","Female",1240,
"West Coast region","45-49 Years","2015","Female",1230,
"Canterbury region","45-49 Years","2006","Male",19690,
"Canterbury region","45-49 Years","2007","Male",20380,
"Canterbury region","45-49 Years","2008","Male",20820,
"Canterbury region","45-49 Years","2009","Male",21000,
"Canterbury region","45-49 Years","2010","Male",21040,
