"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","20-24 years",104,77,104,104,143,136,116,90,96,82,105,166,198,132,106,112,85,105,129,129,138,137,132,132,126
" "," ","25-29 years",94,78,98,101,120,124,101,116,129,102,111,116,130,115,110,145,145,126,135,123,124,137,133,139,146
" "," ","30-34 years",53,61,78,65,103,88,55,65,56,46,61,66,95,99,84,99,90,95,67,71,90,73,78,85,90
" "," ","35-39 years",45,31,44,61,38,46,45,39,39,39,41,57,61,58,60,61,62,58,54,50,49,40,46,53,48
" "," ","40-44 years",25,20,33,31,36,32,21,22,25,45,29,34,46,48,40,46,32,39,38,40,38,24,37,29,39
" "," ","45-49 years",11,11,19,15,19,17,10,22,8,15,23,25,22,22,25,22,24,14,18,23,14,17,20,20,18
" "," ","50-54 years",11,5,8,15,14,15,16,7,8,12,9,17,8,17,22,17,17,11,23,14,15,13,17,20,19
" "," ","55-59 years",5,3,9,9,7,7,10,6,4,12,9,8,8,11,11,13,7,6,13,10,9,17,12,20,13
" "," ","60-64 years",3,0,5,2,5,10,9,11,12,7,11,10,6,4,5,10,6,5,6,14,9,7,18,16,16
" "," ","65-69 years",4,2,4,8,4,2,1,2,4,4,4,4,2,3,4,5,4,4,5,5,2,6,15,5,9
" "," ","70-74 years",2,1,2,2,0,2,2,2,4,7,2,1,2,2,2,3,3,4,7,4,4,6,3,3,5
" "," ","75 years and over",0,3,5,2,8,1,2,1,5,0,5,3,7,3,5,3,3,4,4,2,2,3,4,5,4
" ","Tararua District","0-4 years",3,0,4,6,3,5,1,2,1,4,3,4,4,4,3,6,3,7,5,1,6,3,2,6,6
" "," ","5-9 years",1,1,2,8,6,5,2,4,2,2,4,4,3,2,3,3,3,3,0,1,3,1,2,4,6
" "," ","10-14 years",2,1,3,4,4,1,2,1,2,3,7,4,6,1,1,5,3,2,0,2,2,1,6,0,3
" "," ","15-19 years",8,5,11,17,11,11,12,10,5,2,10,10,6,7,3,5,2,1,6,2,3,4,4,2,5
" "," ","20-24 years",20,12,20,18,12,12,9,18,9,9,5,8,9,5,13,9,4,7,4,10,11,12,9,11,11
" "," ","25-29 years",13,19,14,19,16,21,11,12,13,16,20,14,15,19,13,11,13,13,17,11,6,7,14,12,12
" "," ","30-34 years",5,5,5,11,13,8,5,5,0,5,10,14,9,10,9,8,10,9,8,9,6,5,4,10,9
" "," ","35-39 years",2,3,2,6,7,5,7,5,1,4,3,5,7,6,3,4,2,10,3,2,4,2,4,3,6
" "," ","40-44 years",2,1,2,2,3,1,1,0,2,1,4,5,2,3,3,1,5,4,0,1,3,3,5,1,3
" "," ","45-49 years",0,1,5,1,1,4,3,2,0,0,1,1,6,2,2,4,2,2,0,2,0,3,5,2,4
" "," ","50-54 years",0,1,4,2,0,1,1,0,1,2,2,1,3,2,3,2,3,3,3,2,3,1,3,3,4
" "," ","55-59 years",0,0,2,3,1,1,0,0,0,1,2,1,3,1,2,4,4,1,0,2,1,2,4,4,2
" "," ","60-64 years",1,0,1,1,1,0,0,1,3,1,0,0,0,2,1,0,0,1,2,2,1,1,2,1,2
" "," ","65-69 years",1,0,1,0,0,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,1,1,1,1
" "," ","70-74 years",1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,2,0,1,0,0,0,1
" "," ","75 years and over",0,0,1,3,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,2
" ","Horowhenua District","0-4 years",7,0,8,9,8,6,9,11,6,11,6,13,3,9,13,9,16,13,13,13,11,9,7,9,11
" "," ","5-9 years",5,3,8,7,4,8,6,5,5,4,6,8,7,6,7,7,7,7,4,3,3,3,8,5,6
" "," ","10-14 years",7,3,3,7,7,5,6,5,5,0,8,8,2,7,10,8,11,9,6,5,5,4,7,3,4
" "," ","15-19 years",8,8,13,10,8,15,16,13,15,19,16,15,17,13,14,12,21,13,12,22,14,14,18,17,18
" "," ","20-24 years",21,21,24,15,25,16,17,14,20,12,18,10,9,15,13,12,15,6,14,17,13,6,15,14,12
" "," ","25-29 years",30,15,17,21,16,27,20,25,24,18,24,26,24,23,20,22,22,24,29,15,15,12,22,24,25
" "," ","30-34 years",8,11,18,16,14,16,14,14,8,10,6,12,14,21,14,18,17,19,14,18,8,10,9,11,14
" "," ","35-39 years",5,2,4,7,6,9,8,7,8,8,11,8,3,11,16,18,7,11,11,14,6,12,14,7,9
" "," ","40-44 years",2,6,4,9,6,4,5,6,4,6,6,11,8,5,10,2,8,5,3,2,8,9,6,6,5
" "," ","45-49 years",4,4,3,3,9,5,3,5,3,2,5,4,6,8,9,8,7,14,3,7,6,4,4,6,6
" "," ","50-54 years",1,1,2,2,2,4,2,1,2,4,6,4,7,4,4,2,3,1,4,5,4,2,3,4,9
" "," ","55-59 years",1,1,0,2,2,0,3,3,2,1,1,5,5,2,4,2,7,3,3,7,7,3,11,8,4
" "," ","60-64 years",0,4,2,1,0,1,1,3,1,3,1,0,1,4,0,5,4,1,0,5,2,6,2,5,9
" "," ","65-69 years",1,3,1,1,2,0,1,1,2,0,0,1,0,5,0,2,2,0,0,6,1,1,2,4,8
" "," ","70-74 years",0,0,0,0,2,4,1,1,0,0,0,2,1,2,0,0,2,4,0,2,1,1,3,2,1
" "," ","75 years and over",1,4,1,0,1,0,2,2,0,1,4,0,0,0,2,1,2,1,1,1,1,2,0,2,2
" ","Kapiti Coast District","0-4 years",16,14,17,16,16,10,11,9,8,13,22,12,18,24,23,23,15,19,20,18,25,12,19,17,30
" "," ","5-9 years",11,11,7,7,17,11,10,6,16,20,4,11,15,12,16,13,12,17,11,20,13,15,16,16,16
" "," ","10-14 years",9,9,12,8,12,7,3,6,10,8,6,16,14,12,22,14,13,21,15,10,9,13,13,15,15
" "," ","15-19 years",12,17,16,17,25,14,18,16,15,18,18,23,24,11,17,13,19,20,15,30,11,21,21,19,25
" "," ","20-24 years",34,27,28,32,19,25,19,20,22,25,31,35,34,23,30,25,23,26,20,31,26,23,32,29,29
" "," ","25-29 years",39,44,31,34,27,47,43,38,54,41,45,37,50,48,48,55,51,34,52,45,39,31,40,44,49
" "," ","30-34 years",24,23,19,17,25,31,25,29,20,26,37,41,49,31,46,32,35,41,26,24,29,26,27,27,33
" "," ","35-39 years",14,10,19,13,21,15,19,17,14,28,17,27,28,31,44,42,40,26,31,22,20,17,17,18,22
" "," ","40-44 years",9,11,5,14,13,13,9,8,7,11,14,14,14,20,25,13,19,20,18,17,15,19,19,20,14
" "," ","45-49 years",5,5,6,6,10,6,7,9,11,5,8,11,8,16,11,11,16,17,13,10,13,10,9,17,11
" "," ","50-54 years",10,6,3,5,1,9,4,5,7,4,10,11,7,4,7,6,10,7,8,13,7,11,15,11,19
" "," ","55-59 years",6,4,3,5,2,5,9,4,5,7,3,15,11,10,6,9,8,11,9,15,10,10,11,13,11
" "," ","60-64 years",3,4,3,4,4,3,1,5,2,1,6,6,6,7,5,4,8,9,13,7,7,12,10,10,6
" "," ","65-69 years",1,4,1,1,1,0,3,4,1,6,2,4,4,4,4,2,2,3,6,9,3,10,8,6,7
" "," ","70-74 years",2,1,3,2,1,3,3,1,2,0,1,2,1,2,2,1,0,0,2,1,4,1,5,6,2
" "," ","75 years and over",4,5,4,3,4,4,2,3,2,3,5,6,3,2,4,1,2,5,2,5,5,2,6,3,1
" ","Porirua City","0-4 years",13,10,12,17,19,16,22,27,9,19,18,18,10,22,13,25,22,22,13,25,14,26,21,13,22
" "," ","5-9 years",12,11,10,12,22,17,27,10,11,7,14,16,9,16,10,22,17,11,20,17,20,13,10,9,19
" "," ","10-14 years",8,10,5,12,15,13,29,11,8,10,11,17,22,20,9,16,14,15,9,11,10,11,14,12,18
" "," ","15-19 years",34,18,17,15,17,22,35,11,18,19,24,26,20,25,20,20,19,31,21,27,30,25,26,29,35
" "," ","20-24 years",39,29,37,40,40,48,47,26,28,29,22,21,33,29,23,26,26,26,31,23,21,35,33,39,50
" "," ","25-29 years",30,42,25,44,43,34,32,41,35,32,28,37,32,43,38,35,29,31,41,37,45,25,42,53,58
" "," ","30-34 years",16,18,18,19,30,28,30,22,24,25,25,32,24,33,21,40,35,27,18,33,31,28,28,32,29
" "," ","35-39 years",14,12,10,9,19,20,21,12,14,10,14,15,20,19,13,21,29,18,20,17,26,20,24,24,21
" "," ","40-44 years",7,3,5,7,11,10,9,7,5,15,16,11,12,16,9,17,20,12,10,13,19,13,10,13,16
" "," ","45-49 years",7,2,7,7,4,5,5,7,1,3,4,4,7,9,3,6,8,9,10,11,6,13,13,7,8
" "," ","50-54 years",8,4,6,4,4,4,4,3,10,11,11,6,9,5,5,10,10,8,6,6,9,8,9,9,5
" "," ","55-59 years",7,3,13,4,4,3,5,6,2,7,6,4,5,9,6,3,7,5,9,5,12,9,6,11,9
" "," ","60-64 years",4,3,8,6,4,5,7,5,3,7,11,6,5,4,8,4,6,5,10,5,6,4,12,9,10
" "," ","65-69 years",1,1,7,4,2,2,6,5,4,10,4,2,8,3,4,3,2,5,4,4,4,3,10,4,5
" "," ","70-74 years",1,5,1,4,4,2,2,0,2,1,4,3,1,1,3,2,3,4,1,3,1,3,2,4,2
" "," ","75 years and over",7,3,1,4,2,3,1,1,3,2,3,1,5,1,1,2,1,2,2,2,2,3,2,3,2
" ","Upper Hutt City","0-4 years",11,7,7,12,7,13,15,14,5,10,9,15,14,12,4,11,12,9,10,9,10,19,13,15,17
" "," ","5-9 years",9,1,6,9,3,13,8,12,6,6,9,8,8,13,7,11,15,14,4,3,8,11,6,15,10
" "," ","10-14 years",9,5,8,12,12,5,8,10,2,8,12,8,5,7,6,14,15,12,5,4,7,7,9,13,6
" "," ","15-19 years",13,15,11,11,9,13,18,14,14,11,21,22,19,11,13,12,22,11,15,16,15,7,10,16,17
" "," ","20-24 years",41,30,22,28,28,17,27,16,14,18,18,18,17,18,14,16,18,12,13,27,17,20,13,26,29
" "," ","25-29 years",41,40,32,36,28,27,28,34,28,34,29,48,34,39,22,31,30,24,36,32,22,24,34,25,30
" "," ","30-34 years",22,9,19,20,19,13,20,18,17,20,27,33,32,33,15,23,26,15,26,15,18,23,28,22,27
" "," ","35-39 years",11,10,6,8,9,16,12,18,12,9,19,17,20,18,11,24,17,21,14,14,14,11,12,18,18
" "," ","40-44 years",5,5,6,6,10,9,9,9,6,8,10,13,10,14,6,14,12,20,9,9,12,9,6,16,17
" "," ","45-49 years",1,4,4,5,2,3,6,7,4,6,8,8,11,6,5,9,2,11,8,10,10,9,11,8,7
" "," ","50-54 years",4,2,3,1,5,4,9,4,5,5,5,7,8,7,4,6,8,5,5,8,8,6,5,11,11
" "," ","55-59 years",4,5,4,4,5,3,1,4,6,1,2,1,1,3,3,7,4,5,5,8,4,6,5,13,0
" "," ","60-64 years",5,2,1,1,1,0,3,4,1,4,4,3,1,5,1,6,3,5,3,5,6,2,7,5,1
" "," ","65-69 years",3,2,0,3,0,0,0,1,2,2,1,2,0,2,1,3,1,1,2,2,0,1,4,5,4
" "," ","70-74 years",2,1,2,0,0,1,1,0,0,1,2,4,1,2,0,1,2,0,2,1,1,1,3,2,0
" "," ","75 years and over",1,3,3,2,1,1,1,2,0,2,3,3,1,1,0,0,5,0,2,1,2,5,1,1,1
" ","Lower Hutt City","0-4 years",43,26,31,42,45,30,43,37,29,34,35,36,31,37,35,34,36,38,37,35,43,38,37,52,60
" "," ","5-9 years",28,23,27,30,42,28,29,23,28,21,30,37,31,25,25,25,28,21,25,37,22,23,29,23,41
" "," ","10-14 years",24,15,21,39,24,32,32,15,35,17,22,27,32,36,29,26,30,36,18,26,25,29,32,33,31
" "," ","15-19 years",52,34,51,47,33,33,39,45,37,40,71,71,52,53,24,49,44,48,53,44,59,35,46,53,44
" "," ","20-24 years",86,84,75,50,56,55,58,71,53,46,52,56,71,53,55,48,68,63,74,64,83,66,63,72,85
" "," ","25-29 years",122,81,111,87,92,88,96,86,87,83,89,102,105,88,76,87,93,86,108,97,90,80,98,97,98
" "," ","30-34 years",50,44,47,66,68,70,62,51,45,42,61,52,69,83,54,64,67,71,59,59,46,54,60,55,84
" "," ","35-39 years",22,30,33,31,61,45,43,46,40,33,41,46,37,41,41,58,45,54,42,44,40,35,51,43,52
" "," ","40-44 years",23,29,30,21,21,22,34,18,21,23,41,32,29,36,28,28,35,27,32,31,32,29,28,35,28
" "," ","45-49 years",11,17,17,19,16,23,15,12,9,18,24,23,22,24,23,24,21,15,18,22,12,20,22,19,21
" "," ","50-54 years",15,10,7,15,15,14,16,16,16,10,12,18,12,20,9,17,11,12,18,17,27,19,16,16,22
" "," ","55-59 years",14,5,6,4,12,11,16,9,14,14,10,10,10,18,13,11,16,9,14,18,28,22,22,29,21
" "," ","60-64 years",8,9,6,2,4,5,14,8,6,4,6,12,8,14,9,11,14,17,27,13,11,19,25,25,21
" "," ","65-69 years",7,5,7,6,3,9,9,9,6,5,6,6,7,4,4,11,3,3,6,9,6,7,6,12,9
" "," ","70-74 years",5,4,1,3,3,4,4,4,1,1,4,0,5,4,2,4,4,2,2,5,5,3,1,10,9
" "," ","75 years and over",3,5,5,5,8,5,3,4,6,7,7,2,11,5,3,6,5,6,2,5,5,5,5,4,10
" ","Wellington City","0-4 years",117,106,111,160,165,142,126,116,111,97,128,157,139,143,162,187,189,203,169,139,147,128,157,157,179
" "," ","5-9 years",88,99,91,135,141,130,96,117,105,101,123,122,112,116,126,180,138,167,134,125,99,85,100,124,108
" "," ","10-14 years",76,82,82,98,119,115,88,84,72,95,109,118,115,111,112,116,138,120,107,105,90,76,80,69,92
" "," ","15-19 years",140,157,177,196,204,227,145,129,159,229,242,295,268,229,230,220,222,238,209,203,183,174,184,181,251
" "," ","20-24 years",236,212,215,245,256,281,240,228,237,253,330,348,425,345,345,390,323,402,390,395,420,373,451,409,493
" "," ","25-29 years",349,298,306,389,457,484,379,364,348,412,402,465,478,447,420,483,467,576,514,445,466,478,608,515,629
" "," ","30-34 years",216,203,235,274,316,313,252,222,260,237,277,319,342,351,353,407,361,401,341,310,346,325,358,327,377
" "," ","35-39 years",142,133,159,193,208,216,180,180,166,163,195,210,194,215,235,271,269,279,217,200,203,175,178,192,217
" "," ","40-44 years",110,94,96,132,164,128,126,124,109,99,144,146,154,148,177,205,179,201,125,144,130,115,127,135,140
" "," ","45-49 years",72,69,67,101,97,99,83,71,70,79,92,74,96,102,104,109,104,125,88,82,110,76,93,78,90
" "," ","50-54 years",46,45,45,51,55,58,63,70,65,57,72,65,50,85,76,83,68,63,81,76,81,77,71,67,82
" "," ","55-59 years",32,33,40,23,43,46,48,43,58,44,47,48,50,49,46,56,55,75,67,61,66,71,63,75,80
" "," ","60-64 years",33,24,29,19,21,32,28,24,31,29,30,35,29,33,38,42,35,56,53,62,53,41,57,55,66
" "," ","65-69 years",17,11,7,20,31,20,12,14,14,17,16,29,19,13,27,26,16,26,34,28,23,24,35,54,24
" "," ","70-74 years",6,8,6,12,10,9,14,12,9,21,13,11,15,8,13,10,13,11,12,19,15,8,16,10,10
" "," ","75 years and over",7,7,10,15,18,21,8,13,12,14,16,13,8,9,11,13,9,8,12,11,8,13,15,8,17
" ","Masterton District","0-4 years",8,6,7,10,7,4,8,6,5,5,2,17,7,9,9,8,4,15,6,10,10,8,11,12,11
" "," ","5-9 years",7,5,1,13,4,10,13,7,3,9,9,6,9,5,12,11,4,8,7,8,5,4,13,9,6
" "," ","10-14 years",1,4,2,7,7,9,6,6,4,10,6,6,9,6,13,5,5,9,8,4,4,11,6,8,2
" "," ","15-19 years",18,18,11,15,14,12,16,23,11,17,23,16,14,14,14,17,12,9,10,11,6,12,9,7,11
" "," ","20-24 years",22,25,21,12,23,10,23,12,6,12,19,8,16,8,14,8,11,11,12,12,14,14,12,22,14
" "," ","25-29 years",26,20,26,17,19,30,38,23,31,22,31,28,34,30,29,22,23,19,32,16,14,23,12,30,23
" "," ","30-34 years",5,11,9,9,17,13,16,8,12,15,14,15,12,16,17,10,8,16,14,12,18,12,14,16,18
" "," ","35-39 years",7,6,7,9,7,5,13,7,10,4,10,10,14,7,11,14,4,11,12,7,4,6,10,8,10
" "," ","40-44 years",3,4,0,3,6,7,1,10,5,5,3,11,7,3,6,6,7,10,4,5,6,9,7,2,3
" "," ","45-49 years",1,3,4,4,4,4,2,0,1,4,2,3,1,8,6,5,4,8,3,7,4,3,4,7,5
" "," ","50-54 years",1,0,0,2,0,4,4,0,2,3,7,3,10,9,4,3,6,2,5,4,3,9,9,4,5
" "," ","55-59 years",2,0,0,1,2,1,3,1,0,2,0,1,2,7,2,1,3,3,5,3,3,3,4,3,6
" "," ","60-64 years",1,0,1,1,1,0,1,1,2,2,4,1,1,1,1,0,3,1,1,1,1,1,1,5,2
" "," ","65-69 years",0,0,0,4,0,2,1,0,1,0,3,0,1,2,1,0,2,1,0,3,0,1,1,0,2
" "," ","70-74 years",1,0,0,0,1,0,0,1,0,3,0,3,1,2,2,1,1,0,0,1,0,2,1,1,0
" "," ","75 years and over",0,0,0,2,0,1,1,0,0,2,0,0,2,2,0,0,0,1,1,2,0,3,1,1,4
" ","Carterton District","0-4 years",1,0,1,3,1,0,1,0,0,3,3,1,0,1,4,2,1,6,1,4,0,1,0,1,1
" "," ","5-9 years",0,1,1,0,5,0,1,1,0,2,2,1,3,0,1,2,1,1,0,1,1,0,0,1,1
" "," ","10-14 years",0,0,1,0,1,0,1,2,1,2,0,1,0,1,0,0,2,0,0,0,1,0,0,2,5
" "," ","15-19 years",3,3,3,1,0,4,0,3,2,4,5,4,1,3,4,2,4,5,6,4,2,4,1,3,3
" "," ","20-24 years",2,5,4,3,1,4,6,5,3,1,4,4,0,3,4,3,1,4,4,4,1,1,6,3,5
" "," ","25-29 years",5,1,5,2,3,4,4,4,2,5,6,6,8,6,7,9,4,1,6,6,1,4,9,6,5
" "," ","30-34 years",2,0,0,1,4,4,1,3,1,3,0,1,4,3,4,2,2,1,3,9,5,4,2,3,4
" "," ","35-39 years",1,2,2,3,2,0,2,2,2,1,4,2,0,2,4,2,3,3,2,4,0,1,5,4,5
" "," ","40-44 years",2,0,2,2,1,0,1,1,1,3,0,2,2,2,1,1,0,2,3,3,2,0,1,3,2
" "," ","45-49 years",2,1,1,0,1,0,0,0,1,0,2,2,1,1,2,2,1,3,3,3,0,1,1,0,2
" "," ","50-54 years",1,0,0,2,0,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,1,0,1,1,1
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,2,0,2,1,2
" "," ","60-64 years",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,2
" "," ","65-69 years",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
" "," ","75 years and over",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
" ","South Wairarapa District","0-4 years",8,0,3,5,1,0,1,3,3,1,2,2,1,1,1,2,0,5,7,0,3,3,5,3,4
" "," ","5-9 years",1,2,2,0,0,1,0,1,0,2,1,2,0,3,3,1,1,2,3,1,1,0,1,2,6
" "," ","10-14 years",0,0,1,1,0,1,0,0,1,1,4,4,0,0,3,2,0,0,0,0,2,3,4,3,0
" "," ","15-19 years",2,4,3,2,3,2,4,4,3,5,4,4,5,7,7,4,3,0,2,3,3,0,4,2,3
" "," ","20-24 years",10,12,10,8,4,5,8,5,7,3,5,11,6,3,5,8,6,4,3,4,5,5,7,9,6
" "," ","25-29 years",11,5,9,7,9,6,7,9,15,12,11,8,5,9,10,7,8,9,11,9,10,7,7,8,10
" "," ","30-34 years",2,3,8,5,3,7,4,1,0,4,4,6,10,8,12,7,4,8,11,9,3,7,9,2,9
" "," ","35-39 years",2,0,2,1,1,3,4,3,3,1,2,2,2,1,3,3,2,3,5,0,4,7,6,6,3
" "," ","40-44 years",0,2,3,4,2,1,0,3,1,3,0,3,2,2,3,1,2,4,3,5,3,3,2,2,1
" "," ","45-49 years",0,0,1,1,0,3,0,0,0,0,3,3,0,2,6,6,3,0,0,3,2,1,1,3,3
" "," ","50-54 years",1,2,0,1,1,1,0,0,1,1,0,1,0,2,2,3,2,2,1,0,1,4,2,1,2
" "," ","55-59 years",1,0,2,0,0,1,0,1,1,2,0,1,1,0,1,2,1,3,0,0,1,1,3,1,2
" "," ","60-64 years",0,1,0,0,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,1,2,1,1,3,2
" "," ","65-69 years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,3,1
" "," ","70-74 years",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
" "," ","75 years and over",0,0,3,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,1,0,0,0,2
" ","Tasman District","0-4 years",17,18,7,6,4,7,6,4,4,8,13,14,14,13,9,6,10,9,8,12,20,17,8,26,15
" "," ","5-9 years",5,12,5,3,5,5,2,4,5,5,1,4,10,12,5,3,4,9,7,6,8,11,10,26,14
" "," ","10-14 years",7,1,9,6,2,3,7,7,3,4,5,4,8,6,5,5,4,10,5,10,5,8,4,19,12
" "," ","15-19 years",14,10,7,8,7,13,6,15,14,14,14,21,15,10,13,13,9,14,12,13,16,27,24,30,30
" "," ","20-24 years",44,39,17,18,11,13,11,6,8,12,21,19,22,17,17,13,14,23,30,29,18,37,24,38,34
" "," ","25-29 years",33,26,25,18,27,21,8,9,27,28,29,38,29,34,28,25,29,30,41,32,29,41,30,47,48
" "," ","30-34 years",19,21,5,14,12,16,12,7,9,10,19,27,18,32,14,16,18,18,16,25,24,17,22,25,42
" "," ","35-39 years",3,6,7,10,5,7,11,6,14,7,12,20,13,18,7,12,11,8,13,14,16,18,12,22,12
" "," ","40-44 years",6,3,9,8,2,6,6,6,5,6,12,8,15,10,6,8,6,10,14,16,11,15,17,26,17
" "," ","45-49 years",8,4,4,1,4,3,3,6,3,5,8,12,7,3,7,11,12,8,7,5,12,11,9,11,16
" "," ","50-54 years",2,3,3,1,3,3,3,3,4,1,5,7,5,11,5,4,5,5,6,9,7,6,6,15,12
" "," ","55-59 years",1,3,2,0,1,1,2,1,4,3,4,4,7,2,6,7,4,6,8,9,10,11,10,10,16
" "," ","60-64 years",1,1,0,1,2,0,3,1,1,3,2,5,1,2,1,1,3,6,8,5,10,8,5,10,12
" "," ","65-69 years",2,0,0,1,0,2,1,0,3,0,3,2,3,2,0,5,4,1,5,7,2,3,4,13,4
" "," ","70-74 years",0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,4,3,2,2,5,2,8
" "," ","75 years and over",1,2,2,3,2,1,4,0,0,1,4,4,2,0,4,4,3,1,3,1,2,3,1,2,3
" ","Nelson City","0-4 years",15,15,26,28,20,24,17,12,15,15,16,23,17,21,21,31,31,29,24,16,19,16,15,27,26
" "," ","5-9 years",11,8,23,23,16,14,18,21,21,12,18,20,33,26,26,33,25,26,15,15,18,19,15,17,17
" "," ","10-14 years",11,11,18,12,9,16,17,7,17,11,22,20,24,19,32,24,26,26,19,12,15,20,14,17,23
" "," ","15-19 years",28,29,28,36,33,41,51,35,28,36,38,60,46,29,53,39,44,32,53,28,45,47,33,54,47
" "," ","20-24 years",46,55,54,49,58,88,115,78,76,41,59,67,64,43,56,56,56,65,57,47,42,52,66,66,61
" "," ","25-29 years",41,53,72,55,67,63,57,67,85,50,70,72,82,69,68,73,62,70,86,60,45,62,70,99,101
" "," ","30-34 years",35,25,43,39,33,54,29,38,37,35,42,41,57,50,55,59,54,55,41,46,29,37,34,38,55
" "," ","35-39 years",14,25,24,33,23,21,25,25,27,19,38,36,31,28,35,39,37,43,32,26,34,20,27,33,30
" "," ","40-44 years",17,22,14,11,13,28,19,13,12,18,22,25,36,27,32,36,27,32,25,16,17,21,16,18,20
" "," ","45-49 years",8,15,5,8,8,12,16,4,12,12,9,26,17,18,24,25,21,32,17,16,17,14,17,19,17
" "," ","50-54 years",9,16,7,5,9,6,10,5,8,11,9,12,27,14,17,14,17,16,15,16,9,14,12,7,22
" "," ","55-59 years",6,7,6,7,3,5,8,8,4,2,13,7,16,12,14,25,8,16,14,11,14,14,17,16,11
" "," ","60-64 years",2,2,3,4,4,7,6,2,6,3,7,6,7,8,8,9,13,10,14,13,12,8,14,11,10
" "," ","65-69 years",3,2,1,6,2,1,2,1,2,2,1,2,3,5,6,5,4,4,5,3,6,11,11,6,7
" "," ","70-74 years",6,3,3,0,0,1,3,2,0,3,1,5,0,6,2,2,2,6,3,3,1,4,1,3,6
" "," ","75 years and over",5,3,2,4,1,0,2,3,5,2,1,1,2,1,3,8,3,2,4,3,5,4,1,6,3
" ","Marlborough District","0-4 years",12,10,17,9,12,7,7,8,8,5,10,24,16,18,8,18,15,17,14,16,9,16,19,16,18
" "," ","5-9 years",7,6,14,5,10,15,1,10,11,4,13,24,11,9,12,10,10,7,16,18,7,16,9,18,13
" "," ","10-14 years",5,11,2,3,7,9,6,2,11,7,7,10,10,13,17,13,26,12,18,4,16,12,9,11,5
" "," ","15-19 years",17,11,18,11,4,13,13,8,10,26,30,27,24,26,16,21,25,18,13,20,18,14,11,21,18
" "," ","20-24 years",36,32,25,23,25,27,20,18,21,25,23,33,16,35,38,29,31,42,27,38,23,26,45,47,44
" "," ","25-29 years",35,38,37,28,42,49,33,34,45,34,48,33,57,52,51,53,56,53,65,55,30,45,49,59,68
" "," ","30-34 years",16,17,17,26,30,19,16,15,14,25,21,29,34,36,27,35,33,30,37,35,34,24,26,31,37
" "," ","35-39 years",13,15,9,11,12,13,11,11,15,10,22,27,12,15,17,25,25,30,27,22,14,19,22,12,19
" "," ","40-44 years",4,5,7,8,10,7,6,12,10,8,14,20,14,18,14,12,25,15,17,5,7,16,18,21,20
" "," ","45-49 years",2,3,7,6,10,4,5,2,7,5,5,7,11,10,9,9,15,15,11,12,11,8,13,9,12
" "," ","50-54 years",2,3,5,4,5,6,3,3,4,7,3,8,14,6,12,11,8,11,7,10,9,14,7,12,10
" "," ","55-59 years",2,2,2,1,4,3,3,2,5,3,5,6,4,6,7,8,16,7,11,12,9,13,7,12,10
" "," ","60-64 years",3,1,5,2,0,2,5,3,2,1,4,2,6,3,5,5,3,2,10,7,10,5,12,9,12
" "," ","65-69 years",0,0,0,0,2,0,2,0,0,2,1,1,4,3,1,4,1,4,2,0,4,3,9,4,8
" "," ","70-74 years",1,0,2,1,1,2,2,0,0,2,2,2,3,1,3,1,0,0,1,0,3,2,3,6,1
" "," ","75 years and over",0,2,2,1,1,3,0,2,3,0,3,3,2,5,3,1,2,3,2,3,2,3,4,2,2
" ","Kaikoura District","0-4 years",2,0,2,0,3,1,0,2,1,0,0,2,1,1,3,2,1,1,0,1,0,0,1,3,5
" "," ","5-9 years",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0
" "," ","10-14 years",1,1,1,2,3,0,1,0,0,0,0,1,1,4,0,2,0,0,0,0,2,0,0,3,0
" "," ","15-19 years",3,2,0,1,1,1,1,3,0,0,1,0,2,4,2,0,1,0,1,0,1,0,0,1,0
" "," ","20-24 years",7,2,2,1,2,2,3,1,4,4,2,1,3,2,4,2,4,0,4,4,2,6,4,2,1
" "," ","25-29 years",2,4,0,2,8,3,5,4,6,1,12,2,5,0,5,6,3,1,4,6,6,5,5,3,3
