"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","25-29 years",23,32,38,44,43,39,40,51,49,57,42,55,37,36,33,41,51,41,26,35,38,42,34,25,26
" "," ","30-34 years",12,17,18,17,16,11,22,21,19,21,31,26,18,23,18,23,26,19,17,17,20,28,23,16,10
" "," ","35-39 years",14,9,8,5,10,12,11,21,21,20,28,16,15,13,24,12,22,24,8,14,15,20,19,9,11
" "," ","40-44 years",6,7,9,13,5,6,10,14,19,17,18,6,9,17,11,12,17,17,7,11,14,18,14,14,11
" "," ","45-49 years",0,5,3,3,9,5,6,10,13,18,9,11,7,11,21,9,14,19,9,16,21,16,8,7,8
" "," ","50-54 years",1,3,6,5,5,5,3,12,15,9,14,6,9,9,11,8,11,10,11,10,9,16,9,8,8
" "," ","55-59 years",3,2,2,8,7,4,9,7,5,4,5,8,9,12,9,8,7,6,4,8,6,5,10,3,9
" "," ","60-64 years",1,2,2,6,3,4,3,6,2,3,2,0,2,7,4,2,3,7,3,1,4,4,2,3,2
" "," ","65-69 years",3,3,3,1,2,1,2,2,0,2,3,3,4,1,1,4,1,3,1,3,4,2,1,2,5
" "," ","70-74 years",1,4,0,2,0,0,1,3,2,1,2,1,0,2,0,0,3,1,0,1,2,2,1,0,0
" "," ","75 years and over",1,3,2,5,2,3,1,2,3,2,2,4,2,0,0,1,1,1,0,1,1,1,1,1,3
" ","Rangitikei District","0-4 years",1,8,4,3,5,8,1,5,12,6,3,4,2,6,9,9,6,5,4,5,9,9,1,4,3
" "," ","5-9 years",4,3,5,3,3,0,7,9,8,5,3,6,3,3,3,2,3,5,6,1,2,9,4,4,4
" "," ","10-14 years",3,2,3,3,4,3,4,5,6,3,5,4,4,3,2,1,5,1,2,2,6,3,0,5,2
" "," ","15-19 years",13,15,14,4,6,9,4,11,15,9,9,10,6,3,12,12,9,12,9,8,10,12,5,0,9
" "," ","20-24 years",21,27,20,18,21,23,21,27,9,19,19,16,10,17,23,16,18,26,13,11,14,27,12,21,14
" "," ","25-29 years",10,13,15,5,11,19,21,15,20,16,15,16,13,10,12,20,9,11,9,14,19,13,7,6,9
" "," ","30-34 years",4,6,5,6,6,7,1,10,10,9,3,5,5,2,5,7,2,8,6,4,9,10,1,7,6
" "," ","35-39 years",1,0,3,1,1,0,6,9,7,4,10,7,7,1,5,4,5,4,4,6,5,10,5,3,2
" "," ","40-44 years",0,0,5,4,1,2,2,2,7,5,4,3,1,1,6,4,4,5,2,1,3,8,4,1,0
" "," ","45-49 years",0,1,3,1,0,1,1,3,3,1,4,4,3,2,3,1,2,4,4,2,1,4,4,2,2
" "," ","50-54 years",1,1,1,1,2,3,3,2,3,3,0,1,0,2,2,1,7,3,2,7,2,13,1,1,1
" "," ","55-59 years",0,0,4,0,3,0,1,0,0,1,3,2,2,1,5,2,1,3,0,3,3,4,0,3,3
" "," ","60-64 years",0,0,1,3,2,2,0,3,1,0,1,0,0,3,1,0,2,1,0,0,0,0,0,0,1
" "," ","65-69 years",0,0,1,0,0,0,1,1,0,0,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0
" "," ","70-74 years",0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
" "," ","75 years and over",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
" ","Manawatu District","0-4 years",8,11,6,6,3,6,6,8,6,6,10,4,2,5,13,1,7,5,5,7,13,17,4,4,3
" "," ","5-9 years",1,6,6,2,6,4,7,5,4,5,10,3,4,5,9,5,6,7,7,5,5,6,4,4,6
" "," ","10-14 years",2,4,2,2,7,2,8,4,6,4,8,1,7,1,2,10,4,7,5,7,7,10,15,4,4
" "," ","15-19 years",16,15,10,20,8,15,17,11,8,14,12,19,15,4,14,13,14,14,17,13,14,16,31,14,10
" "," ","20-24 years",24,16,20,20,28,26,34,21,32,22,38,31,26,30,25,31,23,30,21,25,38,32,30,23,22
" "," ","25-29 years",18,12,15,17,15,13,22,16,25,25,32,20,18,25,19,19,18,21,11,11,26,30,17,13,16
" "," ","30-34 years",8,8,7,2,7,7,8,17,9,7,18,13,7,7,8,12,10,7,5,7,7,10,8,8,8
" "," ","35-39 years",2,4,4,7,5,6,4,7,5,9,14,7,6,6,7,4,13,10,9,7,7,11,8,5,8
" "," ","40-44 years",3,1,4,2,9,3,10,6,4,4,10,7,5,2,3,5,5,11,3,4,11,9,5,3,6
" "," ","45-49 years",2,4,2,1,3,2,1,4,2,4,5,6,4,6,6,4,5,7,1,5,5,6,7,5,7
" "," ","50-54 years",3,0,2,1,1,1,1,2,4,3,7,4,5,1,3,3,1,6,2,1,5,8,5,2,2
" "," ","55-59 years",2,1,0,0,3,1,1,1,3,4,2,1,2,3,4,2,1,6,6,3,2,4,8,3,2
" "," ","60-64 years",0,1,2,3,1,0,0,3,1,2,1,3,1,0,1,1,2,1,1,2,2,5,2,0,1
" "," ","65-69 years",0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1
" "," ","70-74 years",0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0
" "," ","75 years and over",0,0,1,0,1,1,2,2,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1
" ","Palmerston North City","0-4 years",29,23,32,29,36,27,34,37,21,43,52,37,25,27,38,39,35,50,33,32,48,55,34,34,25
" "," ","5-9 years",20,26,26,28,23,32,28,38,28,39,31,41,28,37,26,40,41,50,17,25,33,41,40,20,22
" "," ","10-14 years",11,27,20,22,19,22,32,25,31,30,40,30,27,29,30,31,33,42,24,19,31,32,21,17,21
" "," ","15-19 years",38,51,41,35,51,57,55,70,63,67,57,47,56,61,52,62,52,63,44,46,60,77,44,40,31
" "," ","20-24 years",125,137,126,151,129,166,194,159,144,170,170,139,149,148,172,154,147,151,109,139,163,164,133,110,92
" "," ","25-29 years",79,73,86,87,81,100,118,124,133,126,151,111,95,104,121,129,124,119,104,102,107,117,107,91,95
" "," ","30-34 years",40,45,57,45,68,64,56,57,72,73,64,49,50,41,71,70,62,62,58,42,57,51,56,51,40
" "," ","35-39 years",37,30,31,28,38,44,43,54,42,45,40,44,40,40,33,40,61,57,37,36,47,53,44,29,29
" "," ","40-44 years",17,21,17,20,26,33,24,28,31,41,46,30,25,41,28,23,59,35,27,33,30,27,28,20,27
" "," ","45-49 years",13,15,7,17,15,11,24,15,32,22,37,21,34,29,26,27,27,30,16,28,36,38,24,23,15
" "," ","50-54 years",3,3,15,7,12,7,12,24,11,15,27,11,12,19,28,22,20,23,18,28,17,24,12,20,17
" "," ","55-59 years",7,7,5,8,8,10,10,7,8,6,12,10,12,15,12,7,19,12,15,12,13,19,18,13,15
" "," ","60-64 years",3,3,3,7,6,4,8,5,7,6,8,8,5,8,11,4,6,8,4,5,7,4,8,2,9
" "," ","65-69 years",2,3,1,1,4,4,2,2,4,4,0,5,3,3,4,3,7,3,5,4,4,0,4,5,3
" "," ","70-74 years",5,1,1,2,3,4,3,1,4,0,1,1,3,2,1,0,2,5,0,1,5,1,1,4,1
" "," ","75 years and over",5,3,2,5,8,3,1,1,4,3,1,6,0,2,3,0,1,2,2,0,2,0,0,1,0
" ","Tararua District","0-4 years",4,1,1,2,4,1,6,5,2,8,11,1,5,6,4,1,8,10,5,0,3,6,5,0,3
" "," ","5-9 years",1,4,4,2,5,5,6,3,0,8,4,8,1,3,4,2,11,7,2,1,6,5,5,0,2
" "," ","10-14 years",3,3,1,2,3,4,1,4,1,7,2,3,9,8,4,0,6,6,2,0,2,4,5,1,1
" "," ","15-19 years",11,9,5,17,13,8,12,11,9,12,14,13,9,11,12,8,9,11,6,15,15,11,6,7,5
" "," ","20-24 years",29,15,22,23,30,30,31,27,27,31,19,27,30,22,20,22,28,29,12,18,18,31,30,16,18
" "," ","25-29 years",10,14,9,17,6,12,14,20,15,19,16,21,12,8,12,13,13,16,13,6,16,21,12,6,7
" "," ","30-34 years",8,5,3,4,3,7,8,6,7,13,9,9,6,8,5,9,10,11,3,2,5,8,6,3,1
" "," ","35-39 years",1,2,3,2,7,3,2,5,2,4,5,2,3,3,4,2,10,9,3,3,6,2,4,1,2
" "," ","40-44 years",1,2,0,3,5,1,2,4,2,7,2,5,3,3,4,3,2,5,5,2,9,1,2,3,2
" "," ","45-49 years",3,0,2,1,2,1,3,3,0,3,0,2,0,1,0,2,3,9,5,3,4,6,6,2,0
" "," ","50-54 years",1,1,1,3,3,0,0,2,1,3,4,1,3,2,2,4,1,1,4,4,4,2,2,2,2
" "," ","55-59 years",0,0,0,3,3,1,0,0,2,3,0,2,1,1,1,2,1,1,1,4,2,3,0,2,1
" "," ","60-64 years",1,1,2,1,0,1,2,1,1,1,0,0,0,1,0,2,0,1,2,3,0,4,1,1,1
" "," ","65-69 years",1,0,1,0,0,0,0,1,0,1,3,0,1,0,0,0,2,0,1,0,0,0,0,1,2
" "," ","70-74 years",0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
" "," ","75 years and over",0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
" ","Horowhenua District","0-4 years",8,3,4,11,2,9,9,7,10,13,11,8,4,11,13,12,15,13,10,9,19,18,19,11,2
" "," ","5-9 years",7,4,3,8,5,5,10,7,8,6,9,6,11,3,12,9,16,12,7,10,2,13,15,6,7
" "," ","10-14 years",9,2,6,5,8,6,12,8,10,9,5,5,7,9,11,8,14,9,13,6,9,12,7,13,2
" "," ","15-19 years",14,13,11,22,24,17,23,23,21,17,14,26,16,14,18,15,36,27,23,17,21,27,22,13,9
" "," ","20-24 years",36,20,40,43,21,30,29,38,32,30,40,37,28,23,33,25,39,34,31,31,28,43,31,31,18
" "," ","25-29 years",12,25,6,19,18,25,17,19,24,30,26,25,25,21,28,26,25,34,22,20,26,25,22,21,15
" "," ","30-34 years",9,5,9,8,7,7,10,6,10,10,14,15,13,14,13,16,25,17,11,8,22,12,7,8,9
" "," ","35-39 years",7,8,5,12,6,4,6,14,13,11,10,13,8,5,6,13,11,15,15,10,10,16,10,7,3
" "," ","40-44 years",3,5,2,4,5,6,7,8,6,10,9,8,8,2,10,5,10,6,7,7,6,11,9,7,8
" "," ","45-49 years",2,4,2,4,7,10,10,7,11,6,4,8,4,10,8,8,6,10,4,5,9,9,7,5,3
" "," ","50-54 years",2,0,2,0,6,3,6,4,3,8,5,3,6,8,7,4,9,10,7,8,9,8,9,10,7
" "," ","55-59 years",2,2,1,3,2,5,1,3,2,3,0,2,1,5,3,4,7,11,2,8,6,7,2,5,5
" "," ","60-64 years",3,1,5,4,3,6,2,6,3,2,2,3,2,2,2,1,2,3,3,5,5,0,3,2,0
" "," ","65-69 years",4,0,1,1,5,3,2,1,6,2,3,0,3,1,1,2,2,0,3,2,4,2,0,3,0
" "," ","70-74 years",4,1,1,2,2,2,4,1,1,2,1,0,1,5,0,1,2,3,0,1,0,1,1,1,1
" "," ","75 years and over",2,1,3,5,0,2,2,2,5,1,2,1,3,1,2,1,2,0,1,0,3,2,1,0,1
" ","Kapiti Coast District","0-4 years",5,14,8,15,9,9,12,10,21,21,20,11,12,13,24,14,18,33,11,21,31,17,12,13,6
" "," ","5-9 years",10,11,5,13,9,12,15,13,15,25,11,12,10,13,9,13,22,26,8,18,17,22,13,11,8
" "," ","10-14 years",8,6,6,11,4,10,15,11,11,14,15,19,14,23,13,10,16,23,12,21,23,22,14,9,13
" "," ","15-19 years",23,19,26,22,23,26,21,16,24,26,27,20,14,29,29,23,32,28,28,24,43,34,24,24,35
" "," ","20-24 years",40,32,51,51,49,59,56,44,66,63,71,78,47,57,56,56,60,62,48,50,72,84,54,50,60
" "," ","25-29 years",24,20,27,22,33,42,36,48,49,60,73,51,41,47,54,35,51,49,43,45,55,57,49,44,54
" "," ","30-34 years",17,16,13,16,18,14,20,23,32,35,42,28,23,23,34,22,25,27,14,26,23,26,25,19,18
" "," ","35-39 years",7,6,18,12,14,21,16,21,23,22,18,21,20,24,17,18,35,34,29,24,28,29,20,15,10
" "," ","40-44 years",12,8,7,11,8,10,13,14,21,18,21,20,16,17,19,18,22,28,15,23,31,23,16,14,16
" "," ","45-49 years",9,5,6,9,12,10,7,21,12,19,16,11,9,11,10,10,20,18,13,14,13,23,17,26,12
" "," ","50-54 years",3,6,7,4,7,7,6,6,10,16,11,12,10,9,16,10,21,8,10,13,13,23,10,17,11
" "," ","55-59 years",1,6,3,4,3,3,3,6,7,6,4,7,7,9,8,10,8,12,14,8,9,9,12,7,9
" "," ","60-64 years",4,3,1,3,8,4,2,3,5,2,4,6,5,3,8,4,5,10,6,10,6,10,11,8,3
" "," ","65-69 years",1,1,3,3,4,1,6,1,6,0,3,3,1,2,0,1,2,3,5,1,3,2,4,4,4
" "," ","70-74 years",1,9,3,2,3,7,2,4,2,4,2,0,0,1,3,1,2,0,2,0,0,0,0,1,2
" "," ","75 years and over",3,3,1,3,2,3,4,7,6,5,2,2,4,1,2,2,4,0,3,2,2,0,2,1,1
" ","Porirua City","0-4 years",40,40,34,23,36,33,25,32,47,24,22,14,16,34,34,31,35,48,19,26,48,64,37,28,27
" "," ","5-9 years",31,31,25,28,44,31,21,27,34,29,22,27,18,27,25,18,24,36,26,33,30,36,32,17,32
" "," ","10-14 years",18,28,8,23,20,29,15,22,22,23,21,26,16,24,27,21,26,28,21,30,25,27,26,28,19
" "," ","15-19 years",36,32,32,34,34,22,27,19,31,28,24,19,23,24,37,26,38,38,41,38,41,51,41,37,38
" "," ","20-24 years",80,83,69,51,96,57,56,59,74,52,57,45,39,64,72,52,47,74,53,69,79,87,87,63,57
" "," ","25-29 years",39,42,37,30,36,53,56,48,40,57,59,50,35,53,54,45,54,64,36,50,58,68,67,50,64
" "," ","30-34 years",37,36,29,30,29,38,29,32,44,30,36,14,25,40,38,33,33,30,20,25,38,58,43,26,30
" "," ","35-39 years",17,32,17,20,36,26,26,36,40,21,32,20,20,21,21,17,25,31,19,25,25,35,29,29,17
" "," ","40-44 years",12,16,15,21,15,19,12,17,13,22,25,14,14,20,25,15,27,19,20,23,28,27,23,21,18
" "," ","45-49 years",9,11,6,10,7,16,13,16,13,10,11,18,5,12,19,12,24,18,15,22,22,26,22,15,11
" "," ","50-54 years",4,7,7,12,5,6,8,6,15,9,9,5,9,9,15,9,13,14,12,13,14,17,13,12,12
" "," ","55-59 years",11,2,4,6,8,7,5,6,11,6,5,8,2,12,7,12,7,11,4,10,10,13,12,8,8
" "," ","60-64 years",2,6,5,4,4,2,1,3,5,6,5,4,6,2,8,5,4,8,8,3,3,15,10,0,3
" "," ","65-69 years",1,3,4,3,3,4,3,9,3,3,8,3,1,4,5,7,1,5,1,4,3,6,2,3,4
" "," ","70-74 years",5,0,2,3,3,2,5,1,1,2,0,4,1,2,1,1,5,1,1,2,2,3,1,0,5
" "," ","75 years and over",5,1,5,1,2,3,5,1,3,3,1,1,2,1,1,0,2,1,2,1,0,0,3,1,1
" ","Upper Hutt City","0-4 years",14,14,11,14,19,12,7,7,13,20,19,11,6,11,12,10,15,20,11,18,15,24,22,7,11
" "," ","5-9 years",11,16,10,8,18,9,7,10,16,19,14,9,9,9,13,13,14,16,10,13,8,23,15,9,8
" "," ","10-14 years",9,8,4,4,10,16,9,6,13,24,7,9,9,11,17,11,15,16,16,20,11,20,8,11,7
" "," ","15-19 years",25,18,14,18,8,25,14,26,11,21,19,20,18,12,19,15,27,23,20,26,28,26,19,28,13
" "," ","20-24 years",46,44,52,50,49,44,52,38,40,45,66,61,42,56,51,43,53,46,42,52,59,71,47,34,41
" "," ","25-29 years",23,36,17,29,31,37,34,38,61,63,58,43,30,28,36,37,38,50,36,35,44,49,37,29,39
" "," ","30-34 years",18,15,16,12,21,16,13,21,16,27,24,24,18,15,23,17,33,24,21,19,17,22,23,9,16
" "," ","35-39 years",16,12,6,14,19,11,16,15,11,22,23,12,20,20,12,20,22,22,15,20,16,19,21,18,11
" "," ","40-44 years",12,13,7,10,7,13,6,12,9,13,21,9,8,8,12,11,13,17,17,13,19,25,18,18,7
" "," ","45-49 years",2,5,10,6,7,6,6,8,13,8,9,11,9,12,11,14,7,19,12,16,14,21,16,14,10
" "," ","50-54 years",4,11,4,8,2,4,6,3,7,2,10,5,5,6,14,7,12,7,7,10,6,17,11,6,8
" "," ","55-59 years",3,6,4,0,4,2,3,7,3,5,2,4,7,5,7,3,5,9,8,9,7,6,8,3,5
" "," ","60-64 years",5,5,6,5,1,5,4,4,3,2,4,4,2,3,1,0,5,0,2,1,6,6,5,3,2
" "," ","65-69 years",2,3,1,2,0,3,2,3,2,2,1,2,1,1,0,1,4,2,2,2,2,1,1,0,2
" "," ","70-74 years",1,1,1,2,1,1,4,4,1,2,1,0,2,1,3,1,3,0,1,0,1,0,0,0,2
" "," ","75 years and over",0,3,0,1,0,4,0,2,2,2,0,2,1,1,4,1,2,1,1,2,0,2,1,1,2
" ","Lower Hutt City","0-4 years",45,51,33,47,41,39,27,49,57,66,49,25,21,42,49,33,54,49,41,26,65,58,52,51,34
" "," ","5-9 years",26,45,44,39,36,34,27,49,52,58,43,37,30,30,41,33,37,52,44,38,49,51,56,41,16
" "," ","10-14 years",25,33,25,37,42,28,32,36,39,44,45,28,21,30,37,32,51,56,42,38,43,43,43,27,25
" "," ","15-19 years",60,56,47,41,44,49,36,38,43,60,53,39,30,33,52,44,52,68,53,53,65,68,66,40,48
" "," ","20-24 years",157,123,145,150,127,134,133,125,136,148,136,119,90,133,136,132,135,151,110,117,133,169,131,128,125
" "," ","25-29 years",91,109,75,101,97,115,91,116,152,158,129,108,75,96,120,88,127,133,107,106,127,139,117,113,96
" "," ","30-34 years",47,52,55,53,63,57,62,59,66,79,81,68,52,41,72,60,64,76,59,60,82,66,70,44,41
" "," ","35-39 years",34,38,34,42,38,41,39,49,67,81,62,36,33,34,52,46,47,54,47,47,61,45,53,39,40
" "," ","40-44 years",26,40,27,26,26,25,29,37,43,46,39,29,27,45,40,32,45,60,33,43,48,46,38,31,20
" "," ","45-49 years",20,25,21,25,23,34,26,27,32,19,37,26,21,24,15,28,28,37,27,36,45,41,24,22,22
" "," ","50-54 years",11,20,11,18,22,11,22,39,28,23,25,19,23,14,18,24,28,24,32,23,26,26,26,19,26
" "," ","55-59 years",8,7,11,4,13,9,10,19,16,19,17,20,14,16,17,17,20,15,14,13,19,18,14,17,15
" "," ","60-64 years",8,9,4,11,9,12,6,9,10,11,13,5,7,7,5,5,13,5,7,12,15,13,5,12,12
" "," ","65-69 years",9,5,7,7,3,7,4,10,8,6,7,11,3,6,14,4,4,9,4,3,7,8,6,5,9
" "," ","70-74 years",7,4,3,7,8,4,5,3,7,5,7,2,2,3,3,2,4,5,7,3,5,2,4,5,3
" "," ","75 years and over",6,10,6,12,10,7,3,8,8,5,3,1,8,6,5,7,2,3,7,3,3,2,1,7,3
" ","Wellington City","0-4 years",88,111,104,124,121,138,138,161,167,173,110,88,100,77,104,101,119,131,93,123,105,117,102,89,97
" "," ","5-9 years",98,82,91,82,99,94,104,129,121,134,126,78,92,91,78,84,85,99,80,80,98,87,96,70,90
" "," ","10-14 years",66,65,53,61,93,63,63,80,104,105,106,49,80,54,88,65,75,82,60,67,80,69,70,46,46
" "," ","15-19 years",139,103,131,141,113,123,149,153,138,147,131,141,133,117,114,160,144,130,135,121,142,110,114,93,99
" "," ","20-24 years",432,413,355,373,411,440,443,436,490,519,416,409,373,422,388,395,424,428,302,346,420,435,405,348,336
" "," ","25-29 years",405,362,335,316,381,455,513,612,575,605,457,411,375,351,427,412,473,433,393,487,469,464,421,382,413
" "," ","30-34 years",209,233,215,249,228,249,268,347,336,355,254,232,191,211,204,244,287,269,223,240,272,268,233,236,255
" "," ","35-39 years",150,124,138,137,147,168,208,220,224,243,212,121,141,135,161,191,182,184,140,171,177,144,153,128,153
" "," ","40-44 years",95,96,87,89,119,115,116,123,140,162,151,90,111,101,106,104,118,127,108,115,114,113,105,100,93
" "," ","45-49 years",57,65,68,83,71,66,87,103,110,110,118,66,70,75,91,97,90,107,78,86,76,99,89,69,62
" "," ","50-54 years",45,46,44,57,59,53,59,64,83,82,94,73,59,67,61,81,100,71,67,67,107,79,69,75,62
" "," ","55-59 years",36,26,15,29,44,40,38,40,42,50,46,37,38,55,63,61,76,58,74,59,63,55,62,32,45
" "," ","60-64 years",29,23,18,19,20,14,30,20,31,21,22,29,24,20,27,20,21,30,31,40,23,22,22,27,28
" "," ","65-69 years",12,9,16,13,14,25,18,18,14,26,13,9,15,11,17,8,13,13,9,11,13,14,13,16,19
" "," ","70-74 years",9,10,10,15,12,8,8,10,11,5,10,6,14,7,9,4,7,12,10,6,7,8,9,7,9
" "," ","75 years and over",8,12,13,25,22,26,16,12,17,13,9,7,7,13,9,7,6,6,8,5,16,6,8,11,10
" ","Masterton District","0-4 years",7,10,7,7,11,7,7,5,11,9,3,8,4,2,14,6,8,8,9,5,9,17,14,6,4
" "," ","5-9 years",1,5,8,11,11,8,11,8,14,7,6,5,11,6,1,7,13,7,3,4,8,15,13,13,3
" "," ","10-14 years",3,3,5,5,8,4,7,6,13,8,7,5,6,8,13,4,6,2,7,4,4,8,3,5,1
" "," ","15-19 years",14,9,11,13,27,22,20,15,26,12,14,20,9,11,13,17,20,20,13,11,15,15,14,8,18
" "," ","20-24 years",24,36,33,37,38,31,39,30,39,36,35,31,27,34,18,40,38,41,27,26,36,47,31,23,23
" "," ","25-29 years",19,16,13,19,16,25,23,27,21,31,29,33,26,21,31,25,30,28,23,29,20,31,19,20,20
" "," ","30-34 years",4,4,7,9,12,10,10,13,16,9,19,11,17,10,10,7,16,13,14,7,11,11,13,10,2
" "," ","35-39 years",6,1,4,8,7,4,12,6,12,9,6,5,4,10,7,6,7,13,9,1,6,10,9,7,5
" "," ","40-44 years",1,2,6,7,4,6,6,6,5,5,7,6,2,6,11,6,6,10,9,5,6,10,2,5,2
" "," ","45-49 years",3,1,1,4,4,6,2,3,9,4,1,5,3,6,10,2,2,9,6,2,6,9,4,2,4
" "," ","50-54 years",2,2,4,1,1,3,1,2,3,1,6,4,4,5,3,5,7,10,4,4,4,8,4,3,0
" "," ","55-59 years",0,0,1,1,2,3,3,3,4,2,3,0,4,2,2,3,1,1,2,3,6,4,4,4,3
" "," ","60-64 years",1,3,1,1,2,2,1,3,4,2,1,1,1,0,3,5,2,1,2,0,3,3,1,2,2
" "," ","65-69 years",0,1,0,0,1,0,0,1,2,0,1,0,1,0,2,0,1,0,0,0,0,1,2,0,1
" "," ","70-74 years",0,1,2,1,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,1
" "," ","75 years and over",0,1,1,1,3,1,1,1,1,1,2,0,0,1,2,0,0,0,0,1,1,2,0,0,1
" ","Carterton District","0-4 years",1,0,1,0,1,1,2,4,0,0,4,2,0,1,4,0,3,7,2,2,2,3,2,1,3
" "," ","5-9 years",1,0,0,2,1,2,2,0,0,2,1,2,1,2,5,1,0,0,1,1,2,2,0,0,1
" "," ","10-14 years",2,2,0,0,1,1,0,2,0,3,1,2,0,1,1,3,0,2,1,0,0,1,2,1,0
" "," ","15-19 years",4,2,2,3,1,7,8,6,6,6,4,3,0,1,5,5,4,4,5,7,4,3,5,6,8
" "," ","20-24 years",6,4,4,7,6,5,8,6,10,8,11,10,8,4,11,5,7,10,5,9,10,12,11,8,8
" "," ","25-29 years",6,4,1,3,5,7,2,7,8,4,8,7,3,4,11,2,8,9,6,3,6,6,2,4,6
" "," ","30-34 years",3,0,1,1,1,1,2,3,2,1,4,2,0,0,0,3,0,3,2,2,4,5,0,2,2
" "," ","35-39 years",0,0,0,1,1,4,0,2,3,1,3,4,2,2,1,3,1,5,2,2,1,4,1,0,1
" "," ","40-44 years",1,1,0,0,0,4,5,3,1,3,1,0,1,3,0,1,2,1,2,1,0,2,2,1,1
" "," ","45-49 years",1,0,0,0,2,1,0,0,1,0,4,3,1,0,1,1,0,3,1,3,2,1,0,2,0
" "," ","50-54 years",1,1,0,0,0,2,0,1,1,1,2,1,0,1,0,2,1,1,1,2,0,3,2,2,0
" "," ","55-59 years",0,0,0,0,1,0,0,2,0,0,2,1,0,0,1,0,0,1,0,2,0,0,3,0,0
" "," ","60-64 years",0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,2,1,0,0,1
" "," ","65-69 years",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
" "," ","70-74 years",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
" ","South Wairarapa District","0-4 years",0,1,0,3,4,3,5,4,1,1,2,2,2,1,5,4,1,5,3,5,6,3,2,7,2
" "," ","5-9 years",1,1,1,0,2,3,3,1,1,2,1,2,0,0,1,1,2,5,3,8,1,3,4,2,1
" "," ","10-14 years",0,2,0,2,1,1,2,1,1,2,3,0,0,1,2,3,2,3,2,1,3,4,2,3,0
" "," ","15-19 years",3,5,7,5,3,3,4,6,8,8,5,8,5,3,8,7,7,7,4,4,5,4,8,3,1
" "," ","20-24 years",12,16,10,9,9,13,8,14,12,15,20,11,7,12,10,12,9,15,5,10,12,8,13,13,10
" "," ","25-29 years",5,2,6,5,3,5,16,12,11,7,15,8,10,10,12,13,11,15,11,4,9,11,10,7,8
" "," ","30-34 years",1,2,4,1,4,2,6,0,8,2,4,7,6,2,8,4,8,7,5,7,10,1,3,6,2
" "," ","35-39 years",0,1,0,3,3,4,0,0,1,4,4,4,1,3,1,1,4,4,5,5,1,3,1,5,3
" "," ","40-44 years",0,1,1,1,1,0,4,1,0,0,2,2,2,2,4,2,6,5,3,4,2,4,5,2,5
" "," ","45-49 years",1,1,0,0,2,1,2,1,2,2,3,4,3,1,2,4,3,4,3,3,1,1,3,4,2
" "," ","50-54 years",1,2,0,1,2,3,2,1,2,3,1,1,0,4,0,2,3,1,4,1,1,5,3,1,2
" "," ","55-59 years",1,2,0,1,0,1,0,0,0,0,2,1,1,1,0,2,1,1,2,2,2,3,1,1,2
" "," ","60-64 years",0,0,0,1,1,1,0,0,3,1,0,1,0,1,0,0,2,2,1,1,1,0,1,1,3
" "," ","65-69 years",0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
" "," ","70-74 years",2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1
" "," ","75 years and over",0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
" ","Tasman District","0-4 years",4,4,3,9,7,4,6,10,8,9,6,7,5,6,10,12,12,12,13,18,24,25,12,12,10
" "," ","5-9 years",5,1,5,4,14,7,13,9,5,7,1,3,4,3,5,12,8,12,8,19,8,12,9,11,6
" "," ","10-14 years",3,3,3,1,5,8,8,4,14,7,5,10,1,2,8,8,6,10,9,10,11,15,12,8,3
" "," ","15-19 years",27,22,12,14,12,15,20,17,22,25,18,23,14,11,20,25,27,34,23,41,41,37,31,31,30
" "," ","20-24 years",39,54,33,26,28,35,38,30,37,33,48,25,35,43,50,37,43,53,60,69,87,59,74,70,56
" "," ","25-29 years",16,21,15,16,20,15,27,26,26,32,37,39,27,25,32,33,28,40,27,34,53,49,44,40,54
" "," ","30-34 years",11,9,6,11,9,11,10,9,10,12,13,11,7,14,19,16,16,24,11,13,25,33,22,25,25
