Area,Age,Sex,Year at 30 June,Value,Flags
"Wellington region","60-64 Years","Female","2009",12000,
"Wellington region","60-64 Years","Female","2010",12430,
"Wellington region","60-64 Years","Female","2011",12770,
"Wellington region","60-64 Years","Female","2012",12780,
"Wellington region","60-64 Years","Female","2013",12740,
"Wellington region","60-64 Years","Female","2014",12950,
"Tasman region","60-64 Years","Male","2006",1310,
"Tasman region","60-64 Years","Male","2007",1390,
"Tasman region","60-64 Years","Male","2008",1510,
"Tasman region","60-64 Years","Male","2009",1600,
"Tasman region","60-64 Years","Male","2010",1700,
"Tasman region","60-64 Years","Female","2006",1260,
"Tasman region","60-64 Years","Female","2007",1340,
"Tasman region","60-64 Years","Female","2008",1460,
"Tasman region","60-64 Years","Female","2009",1600,
"Otago region","60-64 Years","Male","2006",4620,
"Otago region","60-64 Years","Male","2007",4930,
"Otago region","60-64 Years","Male","2008",5330,
"Otago region","60-64 Years","Male","2009",5630,
"Otago region","60-64 Years","Male","2010",5810,
"Otago region","60-64 Years","Male","2011",6000,
"Otago region","60-64 Years","Male","2012",5990,
"Otago region","60-64 Years","Male","2013",5990,
"Otago region","60-64 Years","Male","2014",6050,
"Otago region","60-64 Years","Female","2006",4590,
"Otago region","60-64 Years","Female","2007",4860,
"Otago region","60-64 Years","Female","2008",5290,
"Otago region","60-64 Years","Female","2009",5620,
"Otago region","60-64 Years","Female","2010",5860,
"Otago region","60-64 Years","Female","2011",6080,
"Otago region","60-64 Years","Female","2012",6090,
"Otago region","60-64 Years","Female","2013",6050,
"Otago region","60-64 Years","Female","2014",6090,
"Southland region","60-64 Years","Male","2006",2240,
"Southland region","60-64 Years","Male","2007",2310,
"Southland region","60-64 Years","Male","2008",2450,
"Southland region","60-64 Years","Male","2009",2540,
"Southland region","60-64 Years","Male","2010",2670,
"Southland region","60-64 Years","Male","2011",2800,
"Southland region","60-64 Years","Male","2012",2820,
"Southland region","60-64 Years","Male","2013",2780,
"Southland region","60-64 Years","Male","2014",2820,
"Southland region","60-64 Years","Female","2006",2130,
"Southland region","60-64 Years","Female","2007",2240,
"Southland region","60-64 Years","Female","2008",2440,
"Southland region","60-64 Years","Female","2009",2540,
"Southland region","60-64 Years","Female","2010",2580,
"Southland region","60-64 Years","Female","2011",2640,
"Southland region","60-64 Years","Female","2012",2640,
"Southland region","60-64 Years","Female","2013",2590,
"Southland region","60-64 Years","Female","2014",2660,
"Area outside region","60-64 Years","Male","2006",20,
"Area outside region","60-64 Years","Male","2007",15,
"Area outside region","60-64 Years","Male","2008",15,
"Area outside region","60-64 Years","Male","2009",15,
"Area outside region","60-64 Years","Male","2010",15,
"Area outside region","60-64 Years","Male","2011",20,
"Area outside region","60-64 Years","Male","2012",20,
"Area outside region","60-64 Years","Male","2013",20,
"Area outside region","60-64 Years","Male","2014",20,
"Area outside region","60-64 Years","Female","2006",15,
"Area outside region","60-64 Years","Female","2007",15,
"Area outside region","60-64 Years","Female","2008",15,
"Area outside region","60-64 Years","Female","2009",15,
"Area outside region","60-64 Years","Female","2010",15,
"Area outside region","60-64 Years","Female","2011",20,
"Area outside region","60-64 Years","Female","2012",20,
"Area outside region","60-64 Years","Female","2013",20,
"Area outside region","60-64 Years","Female","2014",20,
"Northland region","65-69 Years","Male","2006",3800,
"Northland region","65-69 Years","Male","2007",3920,
"Northland region","65-69 Years","Male","2008",3940,
"Northland region","65-69 Years","Male","2009",4030,
"Northland region","65-69 Years","Male","2010",4160,
"Northland region","65-69 Years","Male","2011",4260,
"Northland region","65-69 Years","Male","2012",4560,
"Northland region","65-69 Years","Male","2013",4920,
"Northland region","65-69 Years","Male","2014",5150,
"Northland region","65-69 Years","Female","2006",3580,
"Northland region","65-69 Years","Female","2007",3770,
"Northland region","65-69 Years","Female","2008",3870,
"Northland region","65-69 Years","Female","2009",4020,
"Northland region","65-69 Years","Female","2010",4170,
"Northland region","65-69 Years","Female","2011",4350,
"Northland region","65-69 Years","Female","2012",4610,
"Northland region","65-69 Years","Female","2013",4960,
"Northland region","65-69 Years","Female","2014",5170,
"Auckland region","65-69 Years","Male","2006",20570,
"Auckland region","65-69 Years","Male","2007",21710,
"Auckland region","65-69 Years","Male","2008",22240,
"Auckland region","65-69 Years","Male","2009",23060,
"Auckland region","65-69 Years","Male","2010",23660,
"Auckland region","65-69 Years","Male","2011",24600,
"Auckland region","65-69 Years","Male","2012",26170,
"Auckland region","65-69 Years","Male","2013",28100,
"Auckland region","65-69 Years","Male","2014",29580,
"Auckland region","65-69 Years","Female","2006",21980,
"Auckland region","65-69 Years","Female","2007",23190,
"Auckland region","65-69 Years","Female","2008",23620,
"Auckland region","65-69 Years","Female","2009",24540,
"Auckland region","65-69 Years","Female","2010",25290,
"Auckland region","65-69 Years","Female","2011",26200,
"Auckland region","65-69 Years","Female","2012",27790,
"Auckland region","65-69 Years","Female","2013",29900,
"Auckland region","65-69 Years","Female","2014",31360,
"Waikato region","65-69 Years","Male","2006",7470,
"Waikato region","65-69 Years","Male","2007",7790,
"Waikato region","65-69 Years","Male","2008",7900,
"Waikato region","65-69 Years","Male","2009",8310,
"Waikato region","65-69 Years","Male","2010",8480,
"Waikato region","65-69 Years","Male","2011",8720,
"Waikato region","65-69 Years","Male","2012",9270,
"Waikato region","65-69 Years","Male","2013",10040,
"Waikato region","65-69 Years","Male","2014",10520,
"Waikato region","65-69 Years","Female","2006",7750,
"Waikato region","65-69 Years","Female","2007",8110,
"Waikato region","65-69 Years","Female","2008",8270,
"Waikato region","65-69 Years","Female","2009",8590,
"Waikato region","65-69 Years","Female","2010",8980,
"Waikato region","65-69 Years","Female","2011",9220,
"Waikato region","65-69 Years","Female","2012",9760,
"Waikato region","65-69 Years","Female","2013",10440,
"Waikato region","65-69 Years","Female","2014",11000,
"Bay of Plenty region","65-69 Years","Male","2006",5700,
"Bay of Plenty region","65-69 Years","Male","2007",5940,
"Bay of Plenty region","65-69 Years","Male","2008",6000,
"Bay of Plenty region","65-69 Years","Male","2009",6160,
"Bay of Plenty region","65-69 Years","Male","2010",6290,
"Bay of Plenty region","65-69 Years","Male","2011",6470,
"Bay of Plenty region","65-69 Years","Male","2012",6830,
"Bay of Plenty region","65-69 Years","Male","2013",7300,
"Bay of Plenty region","65-69 Years","Male","2014",7690,
"Bay of Plenty region","65-69 Years","Female","2006",6190,
"Bay of Plenty region","65-69 Years","Female","2007",6450,
"Bay of Plenty region","65-69 Years","Female","2008",6490,
"Bay of Plenty region","65-69 Years","Female","2009",6730,
"Bay of Plenty region","65-69 Years","Female","2010",6920,
"Bay of Plenty region","65-69 Years","Female","2011",6950,
"Bay of Plenty region","65-69 Years","Female","2012",7320,
"Bay of Plenty region","65-69 Years","Female","2013",7820,
"Bay of Plenty region","65-69 Years","Female","2014",8140,
"Gisborne region","65-69 Years","Male","2006",800,
"Gisborne region","65-69 Years","Male","2007",830,
"Gisborne region","65-69 Years","Male","2008",850,
"Gisborne region","65-69 Years","Male","2009",890,
"Gisborne region","65-69 Years","Male","2010",910,
"Gisborne region","65-69 Years","Male","2011",910,
"Gisborne region","65-69 Years","Male","2012",930,
"Gisborne region","65-69 Years","Male","2013",1030,
"Gisborne region","65-69 Years","Male","2014",1090,
"Gisborne region","65-69 Years","Female","2006",870,
"Gisborne region","65-69 Years","Female","2007",890,
"Gisborne region","65-69 Years","Female","2008",910,
"Gisborne region","65-69 Years","Female","2009",900,
"Gisborne region","65-69 Years","Female","2010",910,
"Gisborne region","65-69 Years","Female","2011",930,
"Gisborne region","65-69 Years","Female","2012",990,
"Gisborne region","65-69 Years","Female","2013",1080,
"Gisborne region","65-69 Years","Female","2014",1110,
"Hawke's Bay region","65-69 Years","Male","2006",2980,
"Hawke's Bay region","65-69 Years","Male","2007",3150,
"Hawke's Bay region","65-69 Years","Male","2008",3270,
"Hawke's Bay region","65-69 Years","Male","2009",3390,
"Hawke's Bay region","65-69 Years","Male","2010",3550,
"Hawke's Bay region","65-69 Years","Male","2011",3630,
"Hawke's Bay region","65-69 Years","Male","2012",3840,
"Hawke's Bay region","65-69 Years","Male","2013",4130,
"Hawke's Bay region","65-69 Years","Male","2014",4360,
"Hawke's Bay region","65-69 Years","Female","2006",3200,
"Hawke's Bay region","65-69 Years","Female","2007",3410,
"Hawke's Bay region","65-69 Years","Female","2008",3460,
"Hawke's Bay region","65-69 Years","Female","2009",3530,
"Hawke's Bay region","65-69 Years","Female","2010",3630,
"Hawke's Bay region","65-69 Years","Female","2011",3760,
"Hawke's Bay region","65-69 Years","Female","2012",4010,
"Hawke's Bay region","65-69 Years","Female","2013",4320,
"Hawke's Bay region","65-69 Years","Female","2014",4600,
"Taranaki region","65-69 Years","Male","2006",2140,
"Taranaki region","65-69 Years","Male","2007",2200,
"Taranaki region","65-69 Years","Male","2008",2250,
"Taranaki region","65-69 Years","Male","2009",2320,
"Taranaki region","65-69 Years","Male","2010",2410,
"Taranaki region","65-69 Years","Male","2011",2480,
"Taranaki region","65-69 Years","Male","2012",2590,
"Taranaki region","65-69 Years","Male","2013",2770,
"Taranaki region","65-69 Years","Male","2014",2940,
"Taranaki region","65-69 Years","Female","2006",2330,
"Taranaki region","65-69 Years","Female","2007",2320,
"Taranaki region","65-69 Years","Female","2008",2320,
"Taranaki region","65-69 Years","Female","2009",2410,
"Taranaki region","65-69 Years","Female","2010",2430,
"Taranaki region","65-69 Years","Female","2011",2530,
"Taranaki region","65-69 Years","Female","2012",2730,
"Taranaki region","65-69 Years","Female","2013",2910,
"Taranaki region","65-69 Years","Female","2014",3030,
"Manawatu-Wanganui region","65-69 Years","Male","2006",4620,
"Manawatu-Wanganui region","65-69 Years","Male","2007",4720,
"Manawatu-Wanganui region","65-69 Years","Male","2008",4680,
"Manawatu-Wanganui region","65-69 Years","Male","2009",4870,
"Manawatu-Wanganui region","65-69 Years","Male","2010",5000,
"Manawatu-Wanganui region","65-69 Years","Male","2011",5100,
"Manawatu-Wanganui region","65-69 Years","Male","2012",5440,
"Manawatu-Wanganui region","65-69 Years","Male","2013",5820,
"Manawatu-Wanganui region","65-69 Years","Male","2014",6020,
"Manawatu-Wanganui region","65-69 Years","Female","2006",4920,
"Manawatu-Wanganui region","65-69 Years","Female","2007",5090,
"Manawatu-Wanganui region","65-69 Years","Female","2008",5190,
"Manawatu-Wanganui region","65-69 Years","Female","2009",5280,
"Manawatu-Wanganui region","65-69 Years","Female","2010",5310,
"Manawatu-Wanganui region","65-69 Years","Female","2011",5360,
"Manawatu-Wanganui region","65-69 Years","Female","2012",5630,
"Manawatu-Wanganui region","65-69 Years","Female","2013",5930,
"Manawatu-Wanganui region","65-69 Years","Female","2014",6240,
"Wellington region","65-69 Years","Male","2006",7770,
"Wellington region","65-69 Years","Male","2007",8190,
"Wellington region","65-69 Years","Male","2008",8300,
"Wellington region","65-69 Years","Male","2009",8590,
"Wellington region","65-69 Years","Male","2010",8830,
"Wellington region","65-69 Years","Male","2011",9000,
"Wellington region","65-69 Years","Male","2012",9600,
"Wellington region","65-69 Years","Male","2013",10240,
"Wellington region","65-69 Years","Male","2014",10780,
"Wellington region","65-69 Years","Female","2006",8390,
"Wellington region","65-69 Years","Female","2007",8780,
"Wellington region","65-69 Years","Female","2008",8940,
"Wellington region","65-69 Years","Female","2009",9200,
"Wellington region","65-69 Years","Female","2010",9400,
"Wellington region","65-69 Years","Female","2011",9620,
"Wellington region","65-69 Years","Female","2012",10180,
"Wellington region","65-69 Years","Female","2013",10990,
"Wellington region","65-69 Years","Female","2014",11570,
"Tasman region","65-69 Years","Male","2006",960,
"Tasman region","65-69 Years","Male","2007",1050,
"Tasman region","65-69 Years","Male","2008",1100,
"Tasman region","65-69 Years","Male","2009",1190,
"Tasman region","65-69 Years","Male","2010",1260,
"Tasman region","65-69 Years","Female","2006",990,
"Tasman region","65-69 Years","Female","2007",1060,
"Tasman region","65-69 Years","Female","2008",1090,
"Tasman region","65-69 Years","Female","2009",1130,
"Otago region","65-69 Years","Male","2006",3950,
"Otago region","65-69 Years","Male","2007",4120,
"Otago region","65-69 Years","Male","2008",4150,
"Otago region","65-69 Years","Male","2009",4280,
"Otago region","65-69 Years","Male","2010",4370,
"Otago region","65-69 Years","Male","2011",4460,
"Otago region","65-69 Years","Male","2012",4770,
"Otago region","65-69 Years","Male","2013",5190,
"Otago region","65-69 Years","Male","2014",5510,
"Otago region","65-69 Years","Female","2006",4040,
"Otago region","65-69 Years","Female","2007",4250,
"Otago region","65-69 Years","Female","2008",4290,
"Otago region","65-69 Years","Female","2009",4340,
"Otago region","65-69 Years","Female","2010",4460,
"Otago region","65-69 Years","Female","2011",4530,
"Otago region","65-69 Years","Female","2012",4810,
"Otago region","65-69 Years","Female","2013",5220,
"Otago region","65-69 Years","Female","2014",5550,
"Southland region","65-69 Years","Male","2006",1920,
"Southland region","65-69 Years","Male","2007",1980,
"Southland region","65-69 Years","Male","2008",1960,
"Southland region","65-69 Years","Male","2009",2060,
"Southland region","65-69 Years","Male","2010",2090,
"Southland region","65-69 Years","Male","2011",2070,
"Southland region","65-69 Years","Male","2012",2160,
"Southland region","65-69 Years","Male","2013",2310,
"Southland region","65-69 Years","Male","2014",2390,
"Southland region","65-69 Years","Female","2006",1970,
"Southland region","65-69 Years","Female","2007",2000,
"Southland region","65-69 Years","Female","2008",1970,
"Southland region","65-69 Years","Female","2009",1980,
"Southland region","65-69 Years","Female","2010",2010,
"Southland region","65-69 Years","Female","2011",2030,
"Southland region","65-69 Years","Female","2012",2160,
"Southland region","65-69 Years","Female","2013",2350,
"Southland region","65-69 Years","Female","2014",2440,
"Area outside region","65-69 Years","Male","2006",15,
"Area outside region","65-69 Years","Male","2007",15,
"Area outside region","65-69 Years","Male","2008",20,
"Area outside region","65-69 Years","Male","2009",20,
"Area outside region","65-69 Years","Male","2010",15,
"Area outside region","65-69 Years","Male","2011",15,
"Area outside region","65-69 Years","Male","2012",10,
"Area outside region","65-69 Years","Male","2013",10,
"Area outside region","65-69 Years","Male","2014",15,
"Area outside region","65-69 Years","Female","2006",10,
"Area outside region","65-69 Years","Female","2007",10,
"Area outside region","65-69 Years","Female","2008",10,
"Area outside region","65-69 Years","Female","2009",15,
"Area outside region","65-69 Years","Female","2010",10,
"Area outside region","65-69 Years","Female","2011",10,
"Area outside region","65-69 Years","Female","2012",10,
"Area outside region","65-69 Years","Female","2013",10,
"Area outside region","65-69 Years","Female","2014",10,
"Northland region","70-74 Years","Male","2006",2690,
"Northland region","70-74 Years","Male","2007",2760,
"Northland region","70-74 Years","Male","2008",2880,
"Northland region","70-74 Years","Male","2009",3040,
"Northland region","70-74 Years","Male","2010",3300,
"Northland region","70-74 Years","Male","2011",3520,
"Northland region","70-74 Years","Male","2012",3690,
"Northland region","70-74 Years","Male","2013",3750,
"Northland region","70-74 Years","Male","2014",3910,
"Northland region","70-74 Years","Female","2006",2670,
"Northland region","70-74 Years","Female","2007",2760,
"Northland region","70-74 Years","Female","2008",2840,
"Northland region","70-74 Years","Female","2009",2970,
"Northland region","70-74 Years","Female","2010",3210,
"Northland region","70-74 Years","Female","2011",3410,
"Northland region","70-74 Years","Female","2012",3630,
"Northland region","70-74 Years","Female","2013",3720,
"Northland region","70-74 Years","Female","2014",3900,
"Auckland region","70-74 Years","Male","2006",14500,
"Auckland region","70-74 Years","Male","2007",15010,
"Auckland region","70-74 Years","Male","2008",15720,
"Auckland region","70-74 Years","Male","2009",16350,
"Auckland region","70-74 Years","Male","2010",17320,
"Auckland region","70-74 Years","Male","2011",18430,
"Auckland region","70-74 Years","Male","2012",19500,
"Auckland region","70-74 Years","Male","2013",20110,
"Auckland region","70-74 Years","Male","2014",20970,
"Auckland region","70-74 Years","Female","2006",16260,
"Auckland region","70-74 Years","Female","2007",16730,
"Auckland region","70-74 Years","Female","2008",17320,
"Auckland region","70-74 Years","Female","2009",18120,
"Auckland region","70-74 Years","Female","2010",19080,
"Auckland region","70-74 Years","Female","2011",20300,
"Auckland region","70-74 Years","Female","2012",21490,
"Auckland region","70-74 Years","Female","2013",21960,
"Auckland region","70-74 Years","Female","2014",22930,
"Waikato region","70-74 Years","Male","2006",5890,
"Waikato region","70-74 Years","Male","2007",5860,
"Waikato region","70-74 Years","Male","2008",6040,
"Waikato region","70-74 Years","Male","2009",6200,
"Waikato region","70-74 Years","Male","2010",6510,
"Waikato region","70-74 Years","Male","2011",6930,
"Waikato region","70-74 Years","Male","2012",7330,
"Waikato region","70-74 Years","Male","2013",7480,
"Waikato region","70-74 Years","Male","2014",7910,
"Waikato region","70-74 Years","Female","2006",6070,
"Waikato region","70-74 Years","Female","2007",6170,
"Waikato region","70-74 Years","Female","2008",6290,
"Waikato region","70-74 Years","Female","2009",6530,
"Waikato region","70-74 Years","Female","2010",6870,
"Waikato region","70-74 Years","Female","2011",7340,
"Waikato region","70-74 Years","Female","2012",7770,
"Waikato region","70-74 Years","Female","2013",7960,
"Waikato region","70-74 Years","Female","2014",8290,
"Bay of Plenty region","70-74 Years","Male","2006",4500,
"Bay of Plenty region","70-74 Years","Male","2007",4550,
"Bay of Plenty region","70-74 Years","Male","2008",4700,
"Bay of Plenty region","70-74 Years","Male","2009",4860,
"Bay of Plenty region","70-74 Years","Male","2010",5120,
"Bay of Plenty region","70-74 Years","Male","2011",5430,
"Bay of Plenty region","70-74 Years","Male","2012",5670,
"Bay of Plenty region","70-74 Years","Male","2013",5760,
"Bay of Plenty region","70-74 Years","Male","2014",5950,
"Bay of Plenty region","70-74 Years","Female","2006",4810,
"Bay of Plenty region","70-74 Years","Female","2007",4930,
"Bay of Plenty region","70-74 Years","Female","2008",5130,
"Bay of Plenty region","70-74 Years","Female","2009",5280,
"Bay of Plenty region","70-74 Years","Female","2010",5540,
"Bay of Plenty region","70-74 Years","Female","2011",5970,
"Bay of Plenty region","70-74 Years","Female","2012",6310,
"Bay of Plenty region","70-74 Years","Female","2013",6370,
"Bay of Plenty region","70-74 Years","Female","2014",6640,
"Gisborne region","70-74 Years","Male","2006",630,
"Gisborne region","70-74 Years","Male","2007",640,
"Gisborne region","70-74 Years","Male","2008",630,
"Gisborne region","70-74 Years","Male","2009",640,
"Gisborne region","70-74 Years","Male","2010",640,
"Gisborne region","70-74 Years","Male","2011",690,
"Gisborne region","70-74 Years","Male","2012",740,
"Gisborne region","70-74 Years","Male","2013",740,
"Gisborne region","70-74 Years","Male","2014",780,
"Gisborne region","70-74 Years","Female","2006",720,
"Gisborne region","70-74 Years","Female","2007",720,
"Gisborne region","70-74 Years","Female","2008",720,
"Gisborne region","70-74 Years","Female","2009",710,
"Gisborne region","70-74 Years","Female","2010",750,
"Gisborne region","70-74 Years","Female","2011",800,
"Gisborne region","70-74 Years","Female","2012",820,
"Gisborne region","70-74 Years","Female","2013",840,
"Gisborne region","70-74 Years","Female","2014",850,
"Hawke's Bay region","70-74 Years","Male","2006",2340,
"Hawke's Bay region","70-74 Years","Male","2007",2400,
"Hawke's Bay region","70-74 Years","Male","2008",2450,
"Hawke's Bay region","70-74 Years","Male","2009",2510,
"Hawke's Bay region","70-74 Years","Male","2010",2590,
"Hawke's Bay region","70-74 Years","Male","2011",2770,
"Hawke's Bay region","70-74 Years","Male","2012",2930,
"Hawke's Bay region","70-74 Years","Male","2013",3050,
"Hawke's Bay region","70-74 Years","Male","2014",3190,
"Hawke's Bay region","70-74 Years","Female","2006",2640,
"Hawke's Bay region","70-74 Years","Female","2007",2610,
"Hawke's Bay region","70-74 Years","Female","2008",2660,
"Hawke's Bay region","70-74 Years","Female","2009",2780,
"Hawke's Bay region","70-74 Years","Female","2010",2940,
"Hawke's Bay region","70-74 Years","Female","2011",3100,
"Hawke's Bay region","70-74 Years","Female","2012",3310,
"Hawke's Bay region","70-74 Years","Female","2013",3350,
"Hawke's Bay region","70-74 Years","Female","2014",3440,
"Taranaki region","70-74 Years","Male","2006",1810,
"Taranaki region","70-74 Years","Male","2007",1780,
"Taranaki region","70-74 Years","Male","2008",1790,
"Taranaki region","70-74 Years","Male","2009",1820,
"Taranaki region","70-74 Years","Male","2010",1870,
"Taranaki region","70-74 Years","Male","2011",1920,
"Taranaki region","70-74 Years","Male","2012",2000,
"Taranaki region","70-74 Years","Male","2013",2050,
"Taranaki region","70-74 Years","Male","2014",2150,
"Taranaki region","70-74 Years","Female","2006",1910,
"Taranaki region","70-74 Years","Female","2007",1940,
"Taranaki region","70-74 Years","Female","2008",1980,
"Taranaki region","70-74 Years","Female","2009",2010,
"Taranaki region","70-74 Years","Female","2010",2060,
"Taranaki region","70-74 Years","Female","2011",2150,
"Taranaki region","70-74 Years","Female","2012",2170,
"Taranaki region","70-74 Years","Female","2013",2170,
"Taranaki region","70-74 Years","Female","2014",2280,
"Manawatu-Wanganui region","70-74 Years","Male","2006",3640,
"Manawatu-Wanganui region","70-74 Years","Male","2007",3690,
"Manawatu-Wanganui region","70-74 Years","Male","2008",3780,
"Manawatu-Wanganui region","70-74 Years","Male","2009",3830,
"Manawatu-Wanganui region","70-74 Years","Male","2010",3990,
"Manawatu-Wanganui region","70-74 Years","Male","2011",4220,
"Manawatu-Wanganui region","70-74 Years","Male","2012",4360,
"Manawatu-Wanganui region","70-74 Years","Male","2013",4340,
"Manawatu-Wanganui region","70-74 Years","Male","2014",4550,
"Manawatu-Wanganui region","70-74 Years","Female","2006",4150,
"Manawatu-Wanganui region","70-74 Years","Female","2007",4160,
"Manawatu-Wanganui region","70-74 Years","Female","2008",4150,
"Manawatu-Wanganui region","70-74 Years","Female","2009",4220,
"Manawatu-Wanganui region","70-74 Years","Female","2010",4390,
"Manawatu-Wanganui region","70-74 Years","Female","2011",4590,
"Manawatu-Wanganui region","70-74 Years","Female","2012",4810,
"Manawatu-Wanganui region","70-74 Years","Female","2013",4920,
"Manawatu-Wanganui region","70-74 Years","Female","2014",4980,
"Wellington region","70-74 Years","Male","2006",5940,
"Wellington region","70-74 Years","Male","2007",5970,
"Wellington region","70-74 Years","Male","2008",6060,
"Wellington region","70-74 Years","Male","2009",6180,
"Wellington region","70-74 Years","Male","2010",6450,
"Wellington region","70-74 Years","Male","2011",6900,
"Wellington region","70-74 Years","Male","2012",7290,
"Wellington region","70-74 Years","Male","2013",7410,
"Wellington region","70-74 Years","Male","2014",7700,
"Wellington region","70-74 Years","Female","2006",6580,
"Wellington region","70-74 Years","Female","2007",6660,
"Wellington region","70-74 Years","Female","2008",6720,
"Wellington region","70-74 Years","Female","2009",6950,
"Wellington region","70-74 Years","Female","2010",7340,
"Wellington region","70-74 Years","Female","2011",7780,
"Wellington region","70-74 Years","Female","2012",8120,
"Wellington region","70-74 Years","Female","2013",8260,
"Wellington region","70-74 Years","Female","2014",8550,
"Tasman region","70-74 Years","Male","2006",740,
"Tasman region","70-74 Years","Male","2007",770,
"Tasman region","70-74 Years","Male","2008",810,
"Tasman region","70-74 Years","Male","2009",830,
"Tasman region","70-74 Years","Male","2010",870,
"Tasman region","70-74 Years","Female","2006",770,
"Tasman region","70-74 Years","Female","2007",790,
"Tasman region","70-74 Years","Female","2008",830,
"Tasman region","70-74 Years","Female","2009",860,
"Otago region","70-74 Years","Male","2006",3050,
"Otago region","70-74 Years","Male","2007",3050,
"Otago region","70-74 Years","Male","2008",3130,
"Otago region","70-74 Years","Male","2009",3180,
"Otago region","70-74 Years","Male","2010",3310,
"Otago region","70-74 Years","Male","2011",3590,
"Otago region","70-74 Years","Male","2012",3770,
"Otago region","70-74 Years","Male","2013",3830,
"Otago region","70-74 Years","Male","2014",3960,
"Otago region","70-74 Years","Female","2006",3370,
"Otago region","70-74 Years","Female","2007",3320,
"Otago region","70-74 Years","Female","2008",3390,
"Otago region","70-74 Years","Female","2009",3480,
"Otago region","70-74 Years","Female","2010",3560,
"Otago region","70-74 Years","Female","2011",3760,
"Otago region","70-74 Years","Female","2012",3990,
"Otago region","70-74 Years","Female","2013",4050,
"Otago region","70-74 Years","Female","2014",4130,
"Southland region","70-74 Years","Male","2006",1490,
"Southland region","70-74 Years","Male","2007",1500,
"Southland region","70-74 Years","Male","2008",1560,
"Southland region","70-74 Years","Male","2009",1540,
"Southland region","70-74 Years","Male","2010",1580,
"Southland region","70-74 Years","Male","2011",1710,
"Southland region","70-74 Years","Male","2012",1770,
"Southland region","70-74 Years","Male","2013",1770,
"Southland region","70-74 Years","Male","2014",1850,
"Southland region","70-74 Years","Female","2006",1640,
"Southland region","70-74 Years","Female","2007",1640,
"Southland region","70-74 Years","Female","2008",1650,
"Southland region","70-74 Years","Female","2009",1660,
"Southland region","70-74 Years","Female","2010",1720,
"Southland region","70-74 Years","Female","2011",1810,
"Southland region","70-74 Years","Female","2012",1840,
"Southland region","70-74 Years","Female","2013",1820,
"Southland region","70-74 Years","Female","2014",1830,
"Area outside region","70-74 Years","Male","2006",5,
"Area outside region","70-74 Years","Male","2007",10,
"Area outside region","70-74 Years","Male","2008",10,
"Area outside region","70-74 Years","Male","2009",10,
"Area outside region","70-74 Years","Male","2010",10,
"Area outside region","70-74 Years","Male","2011",10,
"Area outside region","70-74 Years","Male","2012",10,
"Area outside region","70-74 Years","Male","2013",15,
"Area outside region","70-74 Years","Male","2014",15,
"Area outside region","70-74 Years","Female","2006",5,
"Area outside region","70-74 Years","Female","2007",5,
"Area outside region","70-74 Years","Female","2008",5,
"Area outside region","70-74 Years","Female","2009",5,
"Area outside region","70-74 Years","Female","2010",10,
"Area outside region","70-74 Years","Female","2011",10,
"Area outside region","70-74 Years","Female","2012",15,
"Area outside region","70-74 Years","Female","2013",15,
"Area outside region","70-74 Years","Female","2014",15,
"Northland region","75-79 Years","Male","2006",2150,
"Northland region","75-79 Years","Male","2007",2180,
"Northland region","75-79 Years","Male","2008",2220,
"Northland region","75-79 Years","Male","2009",2220,
"Northland region","75-79 Years","Male","2010",2230,
"Northland region","75-79 Years","Male","2011",2290,
"Northland region","75-79 Years","Male","2012",2370,
"Northland region","75-79 Years","Male","2013",2470,
"Northland region","75-79 Years","Male","2014",2590,
"Northland region","75-79 Years","Female","2006",2250,
"Northland region","75-79 Years","Female","2007",2280,
"Northland region","75-79 Years","Female","2008",2310,
"Northland region","75-79 Years","Female","2009",2340,
"Northland region","75-79 Years","Female","2010",2340,
"Northland region","75-79 Years","Female","2011",2400,
"Northland region","75-79 Years","Female","2012",2480,
"Northland region","75-79 Years","Female","2013",2540,
"Northland region","75-79 Years","Female","2014",2670,
"Auckland region","75-79 Years","Male","2006",11870,
"Auckland region","75-79 Years","Male","2007",11890,
"Auckland region","75-79 Years","Male","2008",11850,
"Auckland region","75-79 Years","Male","2009",11960,
"Auckland region","75-79 Years","Male","2010",12140,
"Auckland region","75-79 Years","Male","2011",12300,
"Auckland region","75-79 Years","Male","2012",12800,
"Auckland region","75-79 Years","Male","2013",13390,
"Auckland region","75-79 Years","Male","2014",14110,
"Auckland region","75-79 Years","Female","2006",14190,
"Auckland region","75-79 Years","Female","2007",14190,
"Auckland region","75-79 Years","Female","2008",14130,
"Auckland region","75-79 Years","Female","2009",14050,
"Auckland region","75-79 Years","Female","2010",14190,
"Auckland region","75-79 Years","Female","2011",14440,
"Auckland region","75-79 Years","Female","2012",14950,
"Auckland region","75-79 Years","Female","2013",15470,
"Auckland region","75-79 Years","Female","2014",16270,
"Waikato region","75-79 Years","Male","2006",4630,
"Waikato region","75-79 Years","Male","2007",4760,
"Waikato region","75-79 Years","Male","2008",4750,
"Waikato region","75-79 Years","Male","2009",4790,
"Waikato region","75-79 Years","Male","2010",4920,
"Waikato region","75-79 Years","Male","2011",4980,
"Waikato region","75-79 Years","Male","2012",4990,
"Waikato region","75-79 Years","Male","2013",5200,
"Waikato region","75-79 Years","Male","2014",5410,
"Waikato region","75-79 Years","Female","2006",5240,
"Waikato region","75-79 Years","Female","2007",5370,
"Waikato region","75-79 Years","Female","2008",5430,
